,Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2,2025-04-29,109.4(-0.09 %),-675356,-73.97,383244,42.01,1058600,115.97,0,0%
3,2025-04-28,109.5(-2.58 %),-927987,-102.22,314618,34.79,1242605,137.01,0,0%
4,2025-04-25,112.4(0.36 %),-1234438,-137.06,1558315,172.67,2792753,309.73,0,0%
5,2025-04-24,112(1.45 %),-173743,-19.85,2931248,327.69,3104991,347.54,0,0%
6,2025-04-23,110.4(0.00 %),-1350098,-148.33,1345960,148.41,2696058,296.73,0,0%
7,2025-04-22,110.4(-1.16 %),-1185615,-127.07,1433219,153.72,2618834,280.79,0,0%
8,2025-04-21,111.7(0.09 %),1294927,144.19,1752547,195,457620,50.81,0,0%
9,2025-04-18,111.6(2.01 %),2182695,246.2,3402795,383.27,1220100,137.07,0,0%
10,2025-04-17,109.4(1.39 %),1053726,112.7,2768276,296.38,1714550,183.68,0,0%
11,2025-04-16,107.9(-6.98 %),-4523819,-497.53,1264908,140.17,5788727,637.69,0,0%
12,2025-04-15,116(-2.11 %),-842577,-97.14,1600503,184.79,2443080,281.93,0,0%
13,2025-04-14,118.5(0.00 %),-1845933,-214.71,2599467,304.51,4445400,519.22,0,0%
14,2025-04-11,118.5(5.24 %),998108,116.78,6423409,745.54,5425301,628.76,0,0%
15,2025-04-10,112.6(6.93 %),-497137,-55.98,871135,98.09,1368272,154.07,0,0%
16,2025-04-09,105.3(0.19 %),2320180,247.56,6366572,661.82,4046392,414.26,0,0%
17,2025-04-08,105.1(-6.99 %),-3103587,-326.94,3145055,331.64,6248642,658.58,0,0%
18,2025-04-04,113(-0.44 %),-5714184,-612.85,4598276,497.86,10312460,1110.7,104701670,0%
19,2025-04-03,113.5(-6.97 %),-2949400,-337.27,1615800,186.37,4565200,523.64,98987486,42.27%
20,2025-04-02,122(1.24 %),-295000,-35.91,807000,98.18,1102000,134.1,97775659,42.35%
21,2025-04-01,120.5(-0.41 %),-524400,-63.73,2288900,274.4,2813300,338.13,96175423,42.46%
24,2025-03-31,121(-2.42 %),-891700,-108.35,1546000,189.48,2437700,297.84,97327100,42.38%
25,2025-03-28,124(-1.74 %),-656100,-81.93,425400,53.03,1081500,134.96,96986286,42.41%
26,2025-03-27,126.2(2.60 %),277800,35.19,2199100,272.6,1921300,237.41,94066420,42.61%
27,2025-03-26,123(-2.77 %),-2450700,-304.89,888200,110.07,3338900,414.96,94535365,42.57%
28,2025-03-25,126.5(-1.94 %),-1199700,-152.81,570700,72.78,1770400,225.59,94019652,42.61%
29,2025-03-24,129(0.78 %),-67900,-8.73,1327800,170.24,1395700,178.97,93590157,42.64%
30,2025-03-21,128(2.40 %),222800,28.9,1238700,158.28,1015900,129.39,90406186,42.85%
31,2025-03-20,125(0.32 %),-2215900,-277.71,2283600,285.66,4499500,563.37,81115870,43.49%
32,2025-03-19,124.6(-4.15 %),-8414700,-1061.7,2056200,260.01,10470900,1321.71,80029714,43.56%
33,2025-03-18,130(0.00 %),-2530600,-330.51,831800,108.7,3362400,439.21,79451197,43.6%
34,2025-03-17,130(-1.07 %),-2146900,-279.91,474300,61.88,2621200,341.78,74930719,43.91%
35,2025-03-14,131.4(-3.74 %),-4805500,-639.19,497800,66.02,5303300,705.21,74623325,43.93%
36,2025-03-13,136.5(0.44 %),-25293,-3.43,869637,119.13,894930,122.56,72410558,44.08%
37,2025-03-12,135.9(-1.16 %),-2161100,-295.08,545200,74.59,2706300,369.67,71217375,44.16%
