Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2025-05-08,114.3(4.19 %),270500,31.01,3754700,418.65,3484200,387.64,0,0%
2025-05-07,109.7(0.00 %),-212400,-23.14,1485300,163.15,1697700,186.29,115151597,0%
2025-05-06,109.7(1.01 %),318700,34.96,1994400,219.48,1675700,184.52,116636980,83.82%
2025-05-05,108.6(-0.73 %),2391269,-230.69,2391269,258.2,0,488.89,115736245,83.94%
2025-04-29,109.4(-0.09 %),-401800,-44.02,657400,72,1059200,116.02,114448940,41.22%
2025-04-28,109.5(-2.58 %),-945300,-104.11,336600,37.2,1281900,141.32,112709231,41.34%
2025-04-25,112.4(0.36 %),-1326400,-147.38,1070800,119.33,2397200,266.71,109883558,41.53%
2025-04-24,112(1.45 %),-84000,-9.79,3078300,344.16,3162300,353.95,108182715,41.65%
2025-04-23,110.4(0.00 %),-1292800,-142,1478800,163.07,2771600,305.08,108582729,41.62%
2025-04-22,110.4(-1.16 %),-1152500,-123.44,1525500,163.9,2678000,287.34,109587469,41.55%
2025-04-21,111.7(0.09 %),1407100,156.73,1870200,208.15,463100,51.42,109891588,41.53%
2025-04-18,111.6(2.01 %),2400700,270.54,3621800,407.71,1221100,137.17,109992985,41.52%
2025-04-17,109.4(1.39 %),1032200,110.42,2780200,297.76,1748000,187.34,107806253,41.67%
2025-04-16,107.9(-6.98 %),-4529900,-498.11,1269500,140.7,5799400,638.8,108035349,41.66%
2025-04-15,116(-2.11 %),-328000,-37.42,2298100,265.72,2626100,303.14,104738157,41.88%
2025-04-14,118.5(0.00 %),-1668400,-193.64,2898500,339.94,4566900,533.58,101599459,42.09%
2025-04-11,118.5(5.24 %),1016500,118.98,6437800,747.27,5421300,628.29,103964554,41.93%
2025-04-10,112.6(6.93 %),-297100,-33.45,36300,4.09,333400,37.54,106237471,41.78%
2025-04-09,105.3(0.19 %),2372100,253.09,6537000,679.93,4164900,426.85,100227764,42.19%
2025-04-08,105.1(-6.99 %),-3049900,-321.23,3173700,334.69,6223600,655.92,96622576,42.43%
2025-04-04,113(-0.44 %),-5714000,-612.77,4597900,497.82,10311900,1110.59,95400610,42.51%
2025-04-03,113.5(-6.97 %),-2949400,-337.27,1615800,186.37,4565200,523.64,98987486,42.27%
2025-04-02,122(1.24 %),-295000,-35.91,807000,98.18,1102000,134.1,97775659,42.35%
2025-04-01,120.5(-0.41 %),-524400,-63.73,2288900,274.4,2813300,338.13,96175423,42.46%
2025-03-31,121(-2.42 %),-891700,-108.35,1546000,189.48,2437700,297.84,97327100,42.38%
2025-03-28,124(-1.74 %),-656100,-81.93,425400,53.03,1081500,134.96,96986286,42.41%
2025-03-27,126.2(2.60 %),277800,35.19,2199100,272.6,1921300,237.41,94066420,42.61%
2025-03-26,123(-2.77 %),-2450700,-304.89,888200,110.07,3338900,414.96,94535365,42.57%
2025-03-25,126.5(-1.94 %),-1199700,-152.81,570700,72.78,1770400,225.59,94019652,42.61%
2025-03-24,129(0.78 %),-67900,-8.73,1327800,170.24,1395700,178.97,93590157,42.64%
2025-03-21,128(2.40 %),222800,28.9,1238700,158.28,1015900,129.39,90406186,42.85%
2025-03-20,125(0.32 %),-2215900,-277.71,2283600,285.66,4499500,563.37,81115870,43.49%
2025-03-19,124.6(-4.15 %),-8414700,-1061.7,2056200,260.01,10470900,1321.71,80029714,43.56%
2025-03-18,130(0.00 %),-2530600,-330.51,831800,108.7,3362400,439.21,79451197,43.6%
2025-03-17,130(-1.07 %),-2146900,-279.91,474300,61.88,2621200,341.78,74930719,43.91%
2025-03-14,131.4(-3.74 %),-4805500,-639.19,497800,66.02,5303300,705.21,74623325,43.93%
2025-03-13,136.5(0.44 %),-25293,-3.43,869637,119.13,894930,122.56,72410558,44.08%
2025-03-12,135.9(-1.16 %),-2161100,-295.08,545200,74.59,2706300,369.67,71217375,44.16%
2025-03-11,137.5(-1.29 %),-562900,-77.46,1411500,194.55,1974400,272.01,68993757,44.31%
2025-03-10,139.3(-1.49 %),-1132400,-158.64,1525700,213.77,2658100,372.41,68993757,44.31%
2025-03-07,141.4(-0.14 %),-734000,-103.93,788700,111.75,1522700,215.68,68115393,44.37%
2025-03-06,141.6(1.80 %),-341000,-48.73,2079100,293.5,2420100,342.23,68143836,44.37%
2025-03-05,139.1(-0.64 %),-166200,-23.12,610100,85.2,776300,108.32,68996509,44.31%
2025-03-04,140(-0.36 %),96000,13.54,1336300,186.99,1240300,173.45,68128490,44.37%
2025-03-03,140.5(0.14 %),-518400,-72.91,959800,135.06,1478200,207.97,67537295,44.41%
2025-02-28,140.3(-0.71 %),-394300,-55.04,1664900,232.57,2059200,287.61,67056896,44.44%
2025-02-27,141.3(-0.35 %),79700,11.2,1519100,214.41,1439400,203.22,67915166,44.38%
2025-02-26,141.8(2.01 %),-89200,-12.03,917400,128.89,1006600,140.92,66281526,44.49%
2025-02-25,139(-1.07 %),-1373400,-190.65,1784200,247.87,3157600,438.53,64158593,44.64%
2025-02-24,140.5(-1.06 %),-1782000,-249.66,1290200,181.33,3072200,430.99,63639991,44.67%
2025-02-21,142(-0.70 %),-1042000,-147.93,1271600,180.49,2313600,328.42,63651925,44.67%
2025-02-20,143(-0.69 %),-1040600,-149.21,269700,38.64,1310300,187.86,64185914,44.64%
2025-02-19,144(0.07 %),347800,50.15,1097400,157.73,749600,107.57,64027144,44.65%
2025-02-18,143.9(0.21 %),301900,43.44,762200,109.62,460300,66.18,64088398,44.64%
2025-02-17,143.6(-0.90 %),-489000,-70.31,590400,84.92,1079400,155.23,64290417,44.63%
2025-02-14,144.9(1.26 %),836700,120.97,1378900,199.37,542200,78.4,64230758,44.63%
2025-02-13,143.1(-1.31 %),-208800,-30.03,503200,72.25,712000,102.28,64991935,44.58%
2025-02-12,145(-0.28 %),68100,9.86,685900,99.43,617800,89.57,63395949,44.69%
2025-02-11,145.4(2.39 %),-257700,-35.49,1858000,265.03,2115700,300.52,61984919,44.79%
2025-02-10,142(-2.81 %),-69200,-9.41,2057600,295.17,2126800,304.58,61941380,44.79%
2025-02-07,146.1(-0.27 %),371500,54.25,2302900,336.28,1931400,282.04,62974723,44.72%
