Ngày,Giá đóng cửa,Giá điều chỉnh,Thay đổi,KL gd khớp lệnh,GT gd khớp lệnh,KL gd thỏa thuận,GT gd thỏa thuận,Giá mở cửa,Giá cao nhất,Giá thấp nhất
2025-05-08,114.3,,4.6(4.19 %),12644900,1417.7,0,0,110.4,114.6,109
2025-05-07,109.7,,0(0.00 %),3926800,431.12,452500,49.5,109.6,111.2,108.9
2025-05-06,109.7,,1.1(1.01 %),5686200,626.04,1045000,116.19,108.6,111,108.6
2025-05-05,108.6,,-0.8(-0.73 %),7167600,773.26,452500,49.5,109.5,109.7,106.9
2025-04-29,109.4,,-0.1(-0.09 %),2945500,322.61,3264400,367.59,109.6,110.5,109.1
2025-04-28,109.5,,-2.9(-2.58 %),3853700,424.68,0,0,112,112.4,109.2
2025-04-25,112.4,,0.4(0.36 %),5384100,600.07,1024400,113.92,112,112.4,110.2
2025-04-24,112,,1.6(1.45 %),7740100,866.64,0,0,111.5,113.7,110.6
2025-04-23,110.4,,0(0.00 %),5710800,628.22,1565000,174.52,111.7,111.7,107.7
2025-04-22,110.4,,-1.3(-1.16 %),9127300,979.1,1115000,124.33,111,111.2,104
2025-04-21,111.7,,0.1(0.09 %),4332300,482.27,30000,3.57,112,112.5,110
2025-04-18,111.6,,2.2(2.01 %),7485500,842.68,947000,109.94,110.5,115,110.5
2025-04-17,109.4,,1.5(1.39 %),8580100,924.85,100000,10.68,105,111.3,104.9
2025-04-16,107.9,,-8.1(-6.98 %),18032200,1982.1,860000,99.76,114.5,115.9,107.9
2025-04-15,116,,-2.5(-2.11 %),7762400,895.4,87000,10.31,116.1,117,113.7
2025-04-14,118.5,,0(0.00 %),9217400,1078.65,172000,21.79,120,120,114
2025-04-11,118.5,,5.9(5.24 %),19224000,2235.19,1,0,117,118.5,114.3
2025-04-10,112.6,,7.3(6.93 %),1005400,113.21,1034800,116.52,112.6,112.6,112.6
2025-04-09,105.3,,0.2(0.19 %),16893300,1757.45,1496000,160.34,97.8,108,97.8
2025-04-08,105.1,,-7.9(-6.99 %),16276400,1714.74,315000,34.92,106,108,105.1
2025-04-04,113,,-0.5(-0.44 %),21574500,2324.46,275000,33.08,105.6,113.9,105.6
2025-04-03,113.5,,-8.5(-6.97 %),11484900,1318.45,90000,10.28,114.7,117.6,113.5
2025-04-02,122,,1.5(1.24 %),3920200,477.09,0,0,121.2,122.3,120.8
2025-04-01,120.5,,-0.5(-0.41 %),7824300,939.11,480428,58.38,122,122.2,118.8
2025-03-31,121,,-3(-2.42 %),5406300,660.88,113002,14.02,123.4,123.4,121
2025-03-28,124,,-2.2(-1.74 %),2944800,367.33,82200,10.01,126.1,126.4,124
2025-03-27,126.2,,3.2(2.60 %),6464400,801.68,760000,95.07,122,126.5,121.1
2025-03-26,123,,-3.5(-2.77 %),9734600,1208.75,1684601,210.57,126.5,126.5,122.7
2025-03-25,126.5,,-2.5(-1.94 %),5629200,717.57,0,0,129.8,129.9,126.5
2025-03-24,129,,1(0.78 %),5090200,653.5,0,0,128.5,129.3,127.3
2025-03-21,128,,3(2.40 %),6424800,820.2,0,0,125,129,125
2025-03-20,125,,0.4(0.32 %),8203400,1027.2,505200,63.26,124.6,126.8,124.5
2025-03-19,124.6,,-5.4(-4.15 %),18128400,2288.72,1136000,146.91,130.1,130.6,123.5
2025-03-18,130,,0(0.00 %),5508500,719.73,120000,15.53,130.1,132.2,130
2025-03-17,130,,-1.4(-1.07 %),6707000,874.9,916000,119.08,131.6,132.1,129.6
2025-03-14,131.4,,-5.1(-3.74 %),16094000,2134.6,109000,14.43,135.6,136.3,130.8
2025-03-13,136.5,,0.6(0.44 %),3610200,494.72,100000,13.7,136.1,138,136.1
2025-03-12,135.9,,-1.6(-1.16 %),6185000,844.88,180000,25.19,137.7,138.7,135.9
2025-03-11,137.5,,-1.8(-1.29 %),5784400,797.08,380000,52.35,138,138.5,137
2025-03-10,139.3,,-2.1(-1.49 %),5323000,745.25,358900,50.92,141.5,141.5,139.2
2025-03-07,141.4,,-0.2(-0.14 %),2954500,418.58,481500,68.24,141.7,142.7,141.1
2025-03-06,141.6,,2.5(1.80 %),6417100,907.74,94300,13.34,139.5,143.5,139.5
2025-03-05,139.1,,-0.9(-0.64 %),2851100,398.06,0,0,140,140.1,139.1
2025-03-04,140,,-0.5(-0.36 %),3471300,485.62,553295,76.01,139.5,140.6,139.3
2025-03-03,140.5,,0.2(0.14 %),2533900,356.62,400000,56.28,140.5,141.4,140.3
2025-02-28,140.3,,-1(-0.71 %),4694400,655.86,2248800,314.81,140.1,141.1,139
2025-02-27,141.3,,-0.5(-0.35 %),3421700,483.09,500000,70.62,142,142.2,140.7
2025-02-26,141.8,,2.8(2.01 %),3323400,466.22,150000,21.05,139.1,141.8,138.9
2025-02-25,139,,-1.5(-1.07 %),6810400,945.36,524000,72.97,140.4,140.4,138.2
2025-02-24,140.5,,-1.5(-1.06 %),7497900,1052.39,20001,2.82,142,142,139.5
