Mã,Ngày,KL mua,GT mua,KL bán,GT bán,KL giao dịch ròng,GT giao dịch ròng
FPT,2025-04-29,195900,21.47,1929500,216.4,-1733600,-194.93
FPT,2025-04-28,52900,5.82,272000,30.11,-219100,-24.29
FPT,2025-04-25,1625400,183.42,242500,27.04,1382900,156.37
FPT,2025-04-24,235300,26.26,269400,30.09,-34100,-3.83
FPT,2025-04-23,667000,73.23,53100,5.86,613900,67.37
FPT,2025-04-22,729200,78.21,202300,21.56,526900,56.65
FPT,2025-04-21,128400,14.31,399300,44.41,-270900,-30.1
FPT,2025-04-18,1057200,122,530000,59.58,527200,62.42
FPT,2025-04-17,219000,23.7,946200,102.38,-727200,-78.68
FPT,2025-04-16,812800,88.43,1368500,155.34,-555700,-66.91
FPT,2025-04-15,142200,16.47,397300,45.72,-255100,-29.26
FPT,2025-04-14,113000,13.15,248000,28.97,-135000,-15.82
FPT,2025-04-11,404000,47.18,1490800,173.17,-1086800,-125.99
FPT,2025-04-09,266500,27.85,3888600,410.91,-3622100,-383.06
FPT,2025-04-08,748900,78.8,3744200,394.34,-2995300,-315.54
FPT,2025-04-04,1837000,194.84,861200,94.41,975800,100.43
FPT,2025-04-03,985100,113.05,161700,18.59,823400,94.46
FPT,2025-04-02,630700,76.8,700600,85.19,-69900,-8.39
FPT,2025-04-01,162400,19.54,305200,36.49,-142800,-16.96
FPT,2025-03-31,233900,28.58,431100,52.69,-197200,-24.11
FPT,2025-03-28,134900,16.79,279700,34.83,-144800,-18.04
FPT,2025-03-27,104000,12.95,115100,14.33,-11100,-1.38
FPT,2025-03-26,285200,35.48,344100,42.65,-58900,-7.17
FPT,2025-03-25,204200,25.96,396400,50.58,-192200,-24.62
FPT,2025-03-24,134600,17.28,307500,39.49,-172900,-22.21
FPT,2025-03-21,333200,42.59,228800,29.18,104400,13.41
FPT,2025-03-20,319900,40.08,86500,10.85,233400,29.23
FPT,2025-03-19,2122200,271.72,430700,53.88,1691500,217.84
FPT,2025-03-18,213300,27.88,243300,31.78,-30000,-3.9
FPT,2025-03-17,247300,32.18,1253700,163.21,-1006400,-131.03
FPT,2025-03-14,448100,59.35,665300,87.9,-217200,-28.55
FPT,2025-03-13,182500,24.97,430900,59.04,-248400,-34.07
FPT,2025-03-12,371700,50.66,287100,39.24,84600,11.42
FPT,2025-03-11,490600,67.58,295600,40.76,195000,26.82
FPT,2025-03-10,230400,32.25,290300,40.56,-59900,-8.31
FPT,2025-03-07,194200,27.48,353000,50.05,-158800,-22.56
FPT,2025-03-06,352100,50.02,194900,27.6,157200,22.42
FPT,2025-03-05,209600,29.26,323100,45.12,-113500,-15.86
FPT,2025-03-04,173200,24.24,263000,36.81,-89800,-12.57
FPT,2025-03-03,184200,25.94,49900,7.03,134300,18.91
FPT,2025-02-28,153800,21.5,458600,64.1,-304800,-42.61
FPT,2025-02-27,182500,25.76,186500,26.31,-4000,-0.55
FPT,2025-02-26,338200,47.4,108700,15.29,229500,32.11
FPT,2025-02-25,394800,54.82,193200,26.87,201600,27.94
FPT,2025-02-24,261200,36.68,593200,83.35,-332000,-46.67
FPT,2025-02-21,77700,11.03,380600,54.04,-302900,-43.01
FPT,2025-02-20,129400,18.54,228200,32.75,-98800,-14.21
FPT,2025-02-19,192600,27.67,221700,31.84,-29100,-4.17
FPT,2025-02-18,147000,21.15,242800,34.88,-95800,-13.73
FPT,2025-02-17,190100,27.32,92500,13.3,97600,14.02
FPT,2025-02-14,237400,34.33,180300,26.09,57100,8.24
FPT,2025-02-13,151700,21.77,157000,22.52,-5300,-0.76
FPT,2025-02-12,107700,15.6,52200,7.58,55500,8.02
FPT,2025-02-11,220500,31.53,249300,35.7,-28800,-4.16
FPT,2025-02-10,344800,49.39,477100,68.47,-132300,-19.07
FPT,2025-02-07,176400,25.76,272900,39.86,-96500,-14.1
FPT,2025-02-06,170000,24.84,365300,53.45,-195300,-28.62
FPT,2025-02-05,180900,26.56,170000,24.91,10900,1.65
