Ngày,Thay đổi,Số lệnh mua,Kl mua,KLTB 1 lệnh mua,Số lệnh bán,Kl bán,KLTB 1 lệnh bán,Kl ròng
2025-05-09,0 ( 0 %),0,0,0,0,0,0,0
2025-05-07,109.7 ( 0 %),0,0,0,0,0,0,0
2025-05-06,109.7 ( 1.01 %),0,0,0,0,0,0,0
2025-05-05,108.6 ( -0.73 %),0,0,0,0,0,0,0
2025-04-29,109.4 ( -0.09 %),6809,5534900,812.88,4932,5901900,1197,-367000
2025-04-28,109.5 ( -2.58 %),11099,6993800,630.13,5639,7651100,1357,-657300
2025-04-25,112.4 ( 0.36 %),7751,8169300,1053.97,7147,9797800,1371,-1628500
2025-04-24,112 ( 1.45 %),9441,12006800,1271.77,12598,14434000,1146,-2427200
2025-04-23,110.4 ( 0 %),11289,9540900,845.15,9656,12335200,1277,-2794300
2025-04-22,110.4 ( -1.16 %),17722,14790600,834.59,9687,16100600,1662,-1310000
2025-04-21,111.7 ( 0.09 %),7024,6999500,996.51,7753,9738900,1256,-2739400
2025-04-18,111.6 ( 2.01 %),10301,11805100,1146.01,14844,15093900,1017,-3288800
2025-04-17,109.4 ( 1.39 %),16239,18071400,1112.84,12362,14933200,1208,3138200
2025-04-16,107.9 ( -6.98 %),30819,23249400,754.39,13137,29043600,2211,-5794200
2025-04-15,116 ( -2.11 %),14498,12389000,854.53,8766,15141900,1727,-2752900
2025-04-14,118.5 ( 0 %),16987,14949400,880.05,9602,17891100,1863,-2941700
2025-04-11,118.5 ( 5.24 %),23521,30094900,1279.49,15887,34804900,2191,-4710000
2025-04-10,112.6 ( 6.93 %),19225,44690400,2324.6,607,1005400,1656,43685000
2025-04-09,105.3 ( 0.19 %),22242,33074900,1487.05,16306,24979800,1532,8095100
2025-04-08,105.1 ( -6.99 %),15959,21376700,1339.48,11741,25837800,2201,-4461100
2025-04-04,113 ( -0.44 %),21005,34089300,1622.91,15773,27195800,1724,6893500
2025-04-03,113.5 ( -6.97 %),17188,14974200,871.2,11157,24099500,2160,-9125300
2025-04-02,122 ( 1.24 %),6002,7456000,1242.25,5829,6327700,1086,1128300
2025-04-01,120.5 ( -0.41 %),15756,15677200,995,8060,11778100,1461,3899100
2025-03-31,121 ( -2.42 %),11265,8697200,772.06,4735,8333400,1760,363800
2025-03-28,124 ( -1.74 %),6775,5329600,786.66,4542,5768600,1270,-439000
2025-03-27,126.2 ( 2.6 %),12381,15964600,1289.44,9603,10339300,1077,5625300
2025-03-26,123 ( -2.77 %),22305,18174000,814.79,7877,14328600,1819,3845400
2025-03-25,126.5 ( -1.94 %),10409,8746100,840.24,7306,10538100,1442,-1792000
2025-03-24,129 ( 0.78 %),7142,8487900,1188.45,8046,8998500,1118,-510600
2025-03-21,128 ( 2.4 %),12215,12135400,993.48,11719,12266800,1047,-131400
