Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2025-05-08,13(-1.14 %),-600000,-7.78,21600,0.28,621600,8.06,0,0%
2025-05-07,13.15(2.73 %),1705400,22.14,1861900,24.18,156500,2.04,489494651,0%
2025-05-06,12.8(-4.48 %),-309700,-4.16,362900,4.82,672600,8.98,491356551,5.17%
2025-05-05,13.4(2.29 %),972200,11.27,972200,13.04,0,1.77,490932851,5.25%
2025-04-29,13.1(-1.50 %),911700,12.13,1335400,17.86,423700,5.73,491221151,2.55%
2025-04-28,13.3(6.83 %),165800,2.2,718800,9.46,553000,7.26,491718151,2.5%
2025-04-25,12.45(1.63 %),27100,0.37,865500,10.74,838400,10.37,491790651,2.49%
2025-04-24,12.25(2.08 %),-127600,-1.77,518700,6.27,646300,8.04,492496251,2.43%
2025-04-23,12(1.27 %),-159900,-1.93,0,0,159900,1.93,491122751,2.56%
2025-04-22,11.85(-1.25 %),-447100,-5.4,1445100,16.69,1892200,22.09,490698651,2.6%
2025-04-21,12(-3.23 %),506600,6.12,924700,11.13,418100,5.02,491629751,2.51%
2025-04-18,12.4(0.00 %),-443900,-5.53,70100,0.87,514000,6.4,492092651,2.47%
2025-04-17,12.4(-0.80 %),122200,1.49,584000,7.17,461800,5.68,491681051,2.5%
2025-04-16,12.5(2.88 %),577400,7.13,1059100,13.21,481700,6.08,491587844,2.51%
2025-04-15,12.15(6.58 %),432400,5.01,1109600,13.15,677200,8.13,492238244,2.45%
2025-04-14,11.4(2.24 %),-79000,-0.88,329700,3.73,408700,4.61,493282245,2.35%
2025-04-11,11.15(6.70 %),272700,3.04,338200,3.76,65500,0.73,493610045,2.32%
2025-04-10,10.45(6.52 %),-1900,-0.02,0,0,1900,0.02,493941345,2.29%
2025-04-09,9.81(-4.29 %),1280600,12.87,1287500,12.94,6900,0.07,493942145,2.29%
2025-04-08,10.25(-6.82 %),81900,0.85,82300,0.85,400,0,495119645,2.18%
2025-04-04,11(-4.76 %),-105500,-1.13,4500,0.05,110000,1.18,494424145,2.24%
2025-04-03,11.55(-6.85 %),-728800,-8.58,48900,0.56,777700,9.14,494379545,2.25%
2025-04-02,12.4(0.81 %),-31400,-0.39,17700,0.22,49100,0.6,494358045,2.25%
2025-04-01,12.3(0.82 %),-2000,-0.02,68400,0.84,70400,0.86,493649574,2.32%
2025-03-31,12.2(-1.61 %),-725200,-8.89,700,0.01,725900,8.89,493346074,2.35%
2025-03-28,12.4(-1.59 %),-371500,-4.65,400,0.01,371900,4.66,493197374,2.36%
