Ngày,Giá đóng cửa,Giá điều chỉnh,Thay đổi,KL gd khớp lệnh,GT gd khớp lệnh,KL gd thỏa thuận,GT gd thỏa thuận,Giá mở cửa,Giá cao nhất,Giá thấp nhất
2025-05-08,13,,-0.15(-1.14 %),6307100,81.72,0,0,13.25,13.25,12.8
2025-05-07,13.15,,0.35(2.73 %),8420800,109.59,0,0,12.8,13.15,12.75
2025-05-06,12.8,,-0.6(-4.48 %),15134300,198.16,0,0,13.45,13.5,12.75
2025-05-05,13.4,,0.3(2.29 %),7315100,98.13,0,0,13.2,13.7,13.1
2025-04-29,13.1,,-0.2(-1.50 %),7890200,105.28,0,0,13.4,13.65,13.1
2025-04-28,13.3,,0.85(6.83 %),28110600,371.25,0,0,12.4,13.3,12.3
2025-04-25,12.45,,0.2(1.63 %),8448500,104.89,20000,0.24,12.3,12.6,12.2
2025-04-24,12.25,,0.25(2.08 %),6758900,82.97,0,0,12,12.6,11.95
2025-04-23,12,,0.15(1.27 %),3748800,45.22,0,0,12.15,12.15,11.95
2025-04-22,11.85,,-0.15(-1.25 %),15375700,178.09,0,0,11.8,12.25,11.2
2025-04-21,12,,-0.4(-3.23 %),9676500,116.65,0,0,12.3,12.35,11.85
2025-04-18,12.4,,0(0.00 %),6010300,74.67,0,0,12.55,12.55,12.3
2025-04-17,12.4,,-0.1(-0.80 %),5110000,62.81,0,0,12.2,12.5,12.2
2025-04-16,12.5,,0.35(2.88 %),10367100,129.87,0,0,12.5,12.8,12.35
2025-04-15,12.15,,0.75(6.58 %),10987700,131.7,0,0,11.6,12.15,11.5
2025-04-14,11.4,,0.25(2.24 %),5118600,57.86,0,0,11.35,11.45,11.15
2025-04-11,11.15,,0.7(6.70 %),10407200,115.74,0,0,11.15,11.15,10.85
2025-04-10,10.45,,0.64(6.52 %),244300,2.55,0,0,10.45,10.45,10.45
2025-04-09,9.81,,-0.44(-4.29 %),13231800,130.63,0,0,9.54,10.4,9.54
2025-04-08,10.25,,-0.75(-6.82 %),4804300,49.41,0,0,10.3,10.7,10.25
2025-04-04,11,,-0.55(-4.76 %),17736500,191.95,0,0,10.75,11.2,10.75
2025-04-03,11.55,,-0.85(-6.85 %),14686100,170.49,0,0,11.85,12,11.55
2025-04-02,12.4,,0.1(0.81 %),2052900,25.3,0,0,12.35,12.4,12.25
2025-04-01,12.3,,0.1(0.82 %),2473900,30.4,0,0,12.25,12.35,12.2
2025-03-31,12.2,,-0.2(-1.61 %),6287900,76.94,0,0,12.25,12.4,12.15
2025-03-28,12.4,,-0.2(-1.59 %),2941600,36.74,0,0,12.75,12.75,12.4
2025-03-27,12.6,,-0.1(-0.79 %),1988900,25.19,0,0,12.7,12.8,12.6
2025-03-26,12.7,,0(0.00 %),8035800,103.65,0,0,12.8,13.1,12.65
2025-03-25,12.7,,0.35(2.83 %),8658200,109.61,1521200,17.49,12.5,12.85,12.45
2025-03-24,12.35,,0(0.00 %),6018600,74.99,3477200,39.99,12.35,12.7,12.3
2025-03-21,12.35,,-0.05(-0.40 %),3417500,42.43,0,0,12.35,12.5,12.3
2025-03-20,12.4,,0(0.00 %),4435700,54.64,0,0,12.45,12.55,12.2
2025-03-19,12.4,,-0.1(-0.80 %),5066200,62.38,0,0,12.45,12.45,12.2
2025-03-18,12.5,,0.05(0.40 %),3732700,46.65,0,0,12.45,12.6,12.4
2025-03-17,12.45,,0(0.00 %),3046900,37.84,0,0,12.5,12.55,12.3
2025-03-14,12.45,,0.1(0.81 %),3135200,38.91,0,0,12.35,12.55,12.3
2025-03-13,12.35,,-0.35(-2.76 %),4202100,52.68,220000,2.79,12.7,12.7,12.35
2025-03-12,12.7,,0.2(1.60 %),7913700,100.74,0,0,12.5,12.95,12.5
2025-03-11,12.5,,-0.05(-0.40 %),2964900,36.88,0,0,12.45,12.55,12.3
2025-03-10,12.55,,0(0.00 %),3943200,49.23,0,0,12.55,12.6,12.4
2025-03-07,12.55,,0(0.00 %),4677300,58.81,0,0,12.6,12.7,12.45
2025-03-06,12.55,,0.05(0.40 %),4907400,61.17,0,0,12.5,12.6,12.35
2025-03-05,12.5,,-0.15(-1.19 %),3725200,46.84,0,0,12.7,12.75,12.4
2025-03-04,12.65,,-0.05(-0.39 %),10577000,133.47,0,0,12.65,12.8,12.5
2025-03-03,12.7,,-0.3(-2.31 %),8965900,115.08,0,0,13,13.1,12.65
2025-02-28,13,,-0.25(-1.89 %),5140400,66.84,0,0,13.25,13.25,12.85
2025-02-27,13.25,,0.55(4.33 %),14305400,184.89,0,0,12.8,13.3,12.65
2025-02-26,12.7,,-0.3(-2.31 %),9174400,118.11,0,0,13,13.15,12.65
2025-02-25,13,,0(0.00 %),6235000,80.92,0,0,13.15,13.2,12.85
2025-02-24,13,,0.05(0.39 %),8859100,115.64,0,0,13,13.2,12.8
2025-02-21,12.95,,0.2(1.57 %),8030500,102.12,0,0,12.7,12.95,12.55
2025-02-20,12.75,,0(0.00 %),5808200,73.78,4860000,61.77,12.75,12.85,12.6
2025-02-19,12.75,,0.15(1.19 %),5404400,68.63,0,0,12.6,12.8,12.6
2025-02-18,12.6,,0.15(1.20 %),6826700,86.72,4600000,57.27,12.5,12.85,12.45
2025-02-17,12.45,,0.05(0.40 %),4958100,62.01,5400000,62.37,12.45,12.75,12.4
2025-02-14,12.4,,0(0.00 %),2942300,36.51,0,0,12.45,12.55,12.3
2025-02-13,12.4,,0.1(0.81 %),3568300,44.07,0,0,12.3,12.45,12.25
2025-02-12,12.3,,-0.25(-1.99 %),2607000,32.33,0,0,12.55,12.55,12.3
2025-02-11,12.55,,0.1(0.80 %),5001100,62.59,360000,4.43,12.45,12.6,12.35
2025-02-10,12.45,,0.15(1.22 %),8509500,105.29,0,0,12.3,12.55,12.2
2025-02-07,12.3,,0.3(2.50 %),7410400,90.45,0,0,12.1,12.35,12
2025-02-06,12,,0(0.00 %),7387000,89.9,0,0,12,12.3,12
2025-02-05,12,,0.1(0.84 %),5142600,61.91,0,0,11.95,12.15,11.9
2025-02-04,11.9,,0.05(0.42 %),3721200,44.22,0,0,11.8,12.05,11.75
2025-01-24,12.2,,0(0.00 %),3639200,44.36,105000,1.19,12.25,12.3,12.1
2025-01-23,12.2,,0.1(0.83 %),3435300,41.72,0,0,12.15,12.25,12.05
2025-01-22,12.1,,0.15(1.26 %),5369900,65.4,0,0,12,12.3,12
2025-01-21,11.95,,0.15(1.27 %),3188800,37.9,75000,0.83,11.9,11.95,11.8
2025-01-20,11.8,,0(0.00 %),3497400,41.34,0,0,11.8,11.9,11.75
2025-01-17,11.8,,0.05(0.43 %),2238500,26.48,0,0,11.85,11.95,11.75
2025-01-16,11.75,,0.1(0.86 %),4974600,58.59,0,0,11.75,11.95,11.7
2025-01-15,11.65,,0.1(0.87 %),2489800,28.87,0,0,11.6,11.7,11.5
2025-01-14,11.55,,-0.25(-2.12 %),2976300,34.73,0,0,11.8,11.9,11.5
2025-01-13,11.8,,0.15(1.29 %),6814000,79.73,520000,6.06,11.65,11.9,11.6
2025-01-10,11.65,,-0.3(-2.51 %),4611000,54.52,0,0,11.95,12,11.65
2025-01-09,11.95,,0.1(0.84 %),2199800,26.19,0,0,11.95,12,11.85
2025-01-08,11.85,,0.2(1.72 %),5137700,61.25,0,0,11.7,12.1,11.7
2025-01-07,11.65,,0.05(0.43 %),6466100,75.65,0,0,11.65,11.85,11.65
2025-01-06,11.6,,-0.25(-2.11 %),4446100,52.39,0,0,11.9,11.95,11.55
2025-01-03,11.85,,-0.45(-3.66 %),8335500,99.73,0,0,12.3,12.3,11.85
2025-01-02,12.3,,0.25(2.07 %),6425300,79.39,0,0,12.15,12.5,12.1
2024-12-31,12.05,,0.05(0.42 %),7389100,88.94,0,0,12.25,12.3,11.9
2024-12-30,12,,0(0.00 %),5960300,71.14,0,0,12,12.15,11.75
2024-12-27,12,,-0.5(-4.00 %),15719300,190.96,0,0,12.5,12.6,11.95
