Mã,Ngày,KL mua,GT mua,KL bán,GT bán,KL giao dịch ròng,GT giao dịch ròng
HAG,2025-04-17,6000,0.07,0,0,6000,0.07
HAG,2025-04-16,0,0,100,0,-100,-0
HAG,2025-04-15,0,0,2800,0.03,-2800,-0.03
HAG,2025-04-14,0,0,1400,0.02,-1400,-0.02
HAG,2025-04-11,0,0,9600,0.11,-9600,-0.11
HAG,2025-04-04,11600,0.13,0,0,11600,0.13
HAG,2025-04-03,100,0,0,0,100,0
HAG,2025-04-02,0,0,14600,0.18,-14600,-0.18
HAG,2025-03-31,300,0,800,0.01,-500,-0.01
HAG,2025-03-26,100,0,100,0,0,0
HAG,2025-03-25,1521200,17.49,0,0,1521200,17.49
HAG,2025-03-24,3477200,39.99,0,0,3477200,39.99
HAG,2025-03-20,100,0,0,0,100,0
HAG,2025-03-19,900,0.01,16800,0.21,-15900,-0.2
HAG,2025-03-18,0,0,42000,0.53,-42000,-0.53
HAG,2025-03-17,500,0.01,31500,0.39,-31000,-0.39
HAG,2025-03-14,200,0,0,0,200,0
HAG,2025-03-13,300,0,0,0,300,0
HAG,2025-03-12,100,0,200,0,-100,-0
HAG,2025-03-07,29200,0.37,0,0,29200,0.37
HAG,2025-04-17,6000,0.07,0,0,6000,0.07
HAG,2025-04-16,0,0,100,0,-100,-0
HAG,2025-04-15,0,0,2800,0.03,-2800,-0.03
HAG,2025-04-14,0,0,1400,0.02,-1400,-0.02
HAG,2025-04-11,0,0,9600,0.11,-9600,-0.11
HAG,2025-04-04,11600,0.13,0,0,11600,0.13
HAG,2025-04-03,100,0,0,0,100,0
HAG,2025-04-02,0,0,14600,0.18,-14600,-0.18
HAG,2025-03-31,300,0,800,0.01,-500,-0.01
HAG,2025-03-26,100,0,100,0,0,0
HAG,2025-03-25,1521200,17.49,0,0,1521200,17.49
HAG,2025-03-24,3477200,39.99,0,0,3477200,39.99
HAG,2025-03-20,100,0,0,0,100,0
HAG,2025-03-19,900,0.01,16800,0.21,-15900,-0.2
HAG,2025-03-18,0,0,42000,0.53,-42000,-0.53
HAG,2025-03-17,500,0.01,31500,0.39,-31000,-0.39
HAG,2025-03-14,200,0,0,0,200,0
HAG,2025-03-13,300,0,0,0,300,0
HAG,2025-03-12,100,0,200,0,-100,-0
HAG,2025-03-07,29200,0.37,0,0,29200,0.37
HAG,2025-04-17,6000,0.07,0,0,6000,0.07
HAG,2025-04-16,0,0,100,0,-100,-0
HAG,2025-04-15,0,0,2800,0.03,-2800,-0.03
HAG,2025-04-14,0,0,1400,0.02,-1400,-0.02
HAG,2025-04-11,0,0,9600,0.11,-9600,-0.11
HAG,2025-04-04,11600,0.13,0,0,11600,0.13
HAG,2025-04-03,100,0,0,0,100,0
HAG,2025-04-02,0,0,14600,0.18,-14600,-0.18
HAG,2025-03-31,300,0,800,0.01,-500,-0.01
HAG,2025-03-26,100,0,100,0,0,0
HAG,2025-03-25,1521200,17.49,0,0,1521200,17.49
HAG,2025-03-24,3477200,39.99,0,0,3477200,39.99
HAG,2025-03-20,100,0,0,0,100,0
HAG,2025-03-19,900,0.01,16800,0.21,-15900,-0.2
HAG,2025-03-18,0,0,42000,0.53,-42000,-0.53
HAG,2025-03-17,500,0.01,31500,0.39,-31000,-0.39
HAG,2025-03-14,200,0,0,0,200,0
HAG,2025-03-13,300,0,0,0,300,0
HAG,2025-03-12,100,0,200,0,-100,-0
HAG,2025-03-07,29200,0.37,0,0,29200,0.37
HAG,2025-04-17,6000,0.07,0,0,6000,0.07
HAG,2025-04-16,0,0,100,0,-100,-0
HAG,2025-04-15,0,0,2800,0.03,-2800,-0.03
HAG,2025-04-14,0,0,1400,0.02,-1400,-0.02
HAG,2025-04-11,0,0,9600,0.11,-9600,-0.11
HAG,2025-04-04,11600,0.13,0,0,11600,0.13
HAG,2025-04-03,100,0,0,0,100,0
HAG,2025-04-02,0,0,14600,0.18,-14600,-0.18
HAG,2025-03-31,300,0,800,0.01,-500,-0.01
HAG,2025-03-26,100,0,100,0,0,0
HAG,2025-03-25,1521200,17.49,0,0,1521200,17.49
HAG,2025-03-24,3477200,39.99,0,0,3477200,39.99
HAG,2025-03-20,100,0,0,0,100,0
HAG,2025-03-19,900,0.01,16800,0.21,-15900,-0.2
HAG,2025-03-18,0,0,42000,0.53,-42000,-0.53
HAG,2025-03-17,500,0.01,31500,0.39,-31000,-0.39
HAG,2025-03-14,200,0,0,0,200,0
HAG,2025-03-13,300,0,0,0,300,0
HAG,2025-03-12,100,0,200,0,-100,-0
HAG,2025-03-07,29200,0.37,0,0,29200,0.37
HAG,2025-04-17,6000,0.07,0,0,6000,0.07
HAG,2025-04-16,0,0,100,0,-100,-0
HAG,2025-04-15,0,0,2800,0.03,-2800,-0.03
HAG,2025-04-14,0,0,1400,0.02,-1400,-0.02
HAG,2025-04-11,0,0,9600,0.11,-9600,-0.11
HAG,2025-04-04,11600,0.13,0,0,11600,0.13
HAG,2025-04-03,100,0,0,0,100,0
HAG,2025-04-02,0,0,14600,0.18,-14600,-0.18
HAG,2025-03-31,300,0,800,0.01,-500,-0.01
HAG,2025-03-26,100,0,100,0,0,0
HAG,2025-03-25,1521200,17.49,0,0,1521200,17.49
HAG,2025-03-24,3477200,39.99,0,0,3477200,39.99
HAG,2025-03-20,100,0,0,0,100,0
HAG,2025-03-19,900,0.01,16800,0.21,-15900,-0.2
HAG,2025-03-18,0,0,42000,0.53,-42000,-0.53
HAG,2025-03-17,500,0.01,31500,0.39,-31000,-0.39
HAG,2025-03-14,200,0,0,0,200,0
HAG,2025-03-13,300,0,0,0,300,0
HAG,2025-03-12,100,0,200,0,-100,-0
HAG,2025-03-07,29200,0.37,0,0,29200,0.37
HAG,2025-04-17,6000,0.07,0,0,6000,0.07
HAG,2025-04-16,0,0,100,0,-100,-0
HAG,2025-04-15,0,0,2800,0.03,-2800,-0.03
HAG,2025-04-14,0,0,1400,0.02,-1400,-0.02
HAG,2025-04-11,0,0,9600,0.11,-9600,-0.11
HAG,2025-04-04,11600,0.13,0,0,11600,0.13
HAG,2025-04-03,100,0,0,0,100,0
HAG,2025-04-02,0,0,14600,0.18,-14600,-0.18
HAG,2025-03-31,300,0,800,0.01,-500,-0.01
HAG,2025-03-26,100,0,100,0,0,0
HAG,2025-03-25,1521200,17.49,0,0,1521200,17.49
HAG,2025-03-24,3477200,39.99,0,0,3477200,39.99
HAG,2025-03-20,100,0,0,0,100,0
HAG,2025-03-19,900,0.01,16800,0.21,-15900,-0.2
HAG,2025-03-18,0,0,42000,0.53,-42000,-0.53
HAG,2025-03-17,500,0.01,31500,0.39,-31000,-0.39
HAG,2025-03-14,200,0,0,0,200,0
HAG,2025-03-13,300,0,0,0,300,0
HAG,2025-03-12,100,0,200,0,-100,-0
HAG,2025-03-07,29200,0.37,0,0,29200,0.37
HAG,2025-04-17,6000,0.07,0,0,6000,0.07
HAG,2025-04-16,0,0,100,0,-100,-0
HAG,2025-04-15,0,0,2800,0.03,-2800,-0.03
HAG,2025-04-14,0,0,1400,0.02,-1400,-0.02
HAG,2025-04-11,0,0,9600,0.11,-9600,-0.11
HAG,2025-04-04,11600,0.13,0,0,11600,0.13
HAG,2025-04-03,100,0,0,0,100,0
HAG,2025-04-02,0,0,14600,0.18,-14600,-0.18
HAG,2025-03-31,300,0,800,0.01,-500,-0.01
HAG,2025-03-26,100,0,100,0,0,0
HAG,2025-03-25,1521200,17.49,0,0,1521200,17.49
HAG,2025-03-24,3477200,39.99,0,0,3477200,39.99
HAG,2025-03-20,100,0,0,0,100,0
HAG,2025-03-19,900,0.01,16800,0.21,-15900,-0.2
HAG,2025-03-18,0,0,42000,0.53,-42000,-0.53
HAG,2025-03-17,500,0.01,31500,0.39,-31000,-0.39
HAG,2025-03-14,200,0,0,0,200,0
HAG,2025-03-13,300,0,0,0,300,0
HAG,2025-03-12,100,0,200,0,-100,-0
HAG,2025-03-07,29200,0.37,0,0,29200,0.37
HAG,2025-04-17,6000,0.07,0,0,6000,0.07
HAG,2025-04-16,0,0,100,0,-100,-0
HAG,2025-04-15,0,0,2800,0.03,-2800,-0.03
HAG,2025-04-14,0,0,1400,0.02,-1400,-0.02
HAG,2025-04-11,0,0,9600,0.11,-9600,-0.11
HAG,2025-04-04,11600,0.13,0,0,11600,0.13
HAG,2025-04-03,100,0,0,0,100,0
HAG,2025-04-02,0,0,14600,0.18,-14600,-0.18
HAG,2025-03-31,300,0,800,0.01,-500,-0.01
HAG,2025-03-26,100,0,100,0,0,0
HAG,2025-03-25,1521200,17.49,0,0,1521200,17.49
HAG,2025-03-24,3477200,39.99,0,0,3477200,39.99
HAG,2025-03-20,100,0,0,0,100,0
HAG,2025-03-19,900,0.01,16800,0.21,-15900,-0.2
HAG,2025-03-18,0,0,42000,0.53,-42000,-0.53
HAG,2025-03-17,500,0.01,31500,0.39,-31000,-0.39
HAG,2025-03-14,200,0,0,0,200,0
HAG,2025-03-13,300,0,0,0,300,0
HAG,2025-03-12,100,0,200,0,-100,-0
HAG,2025-03-07,29200,0.37,0,0,29200,0.37
