Ngày,Thay đổi,Số lệnh mua,Kl mua,KLTB 1 lệnh mua,Số lệnh bán,Kl bán,KLTB 1 lệnh bán,Kl ròng
2025-05-09,0 ( 0 %),0,0,0,0,0,0,0
2025-05-07,13.15 ( 2.73 %),0,0,0,0,0,0,0
2025-05-06,12.8 ( -4.48 %),0,0,0,0,0,0,0
2025-05-05,13.4 ( 2.29 %),0,0,0,0,0,0,0
2025-04-29,13.1 ( -1.5 %),2009,21907400,10904.63,3447,29634000,8597,-7726600
2025-04-28,13.3 ( 6.83 %),3928,64006100,16294.83,6272,34888300,5563,29117800
2025-04-25,12.45 ( 1.63 %),1611,17180800,10664.68,3788,25857400,6826,-8676600
2025-04-24,12.25 ( 2.08 %),2082,17109500,8217.82,3821,19724600,5162,-2615100
2025-04-23,12 ( 1.27 %),1552,8603300,5543.36,1999,13345800,6676,-4742500
2025-04-22,11.85 ( -1.25 %),5701,28087500,4926.77,3345,29793100,8907,-1705600
2025-04-21,12 ( -3.23 %),3917,17465200,4458.82,1860,29679700,15957,-12214500
2025-04-18,12.4 ( 0 %),1833,13366600,7292.2,2657,21265000,8003,-7898400
2025-04-17,12.4 ( -0.8 %),2130,11566600,5430.33,2351,17681500,7521,-6114900
2025-04-16,12.5 ( 2.88 %),2674,24540500,9177.45,4614,23166400,5021,1374100
2025-04-15,12.15 ( 6.58 %),2927,31657900,10815.82,2218,13339600,6014,18318300
2025-04-14,11.4 ( 2.24 %),2202,10275300,4666.35,1621,11639900,7181,-1364600
2025-04-11,11.15 ( 6.7 %),3145,20118600,6397.01,1615,13303000,8237,6815600
2025-04-10,10.45 ( 6.52 %),2853,18504300,6485.91,82,244300,2979,18260000
2025-04-09,9.81 ( -4.29 %),4514,21984900,4870.38,2186,19062300,8720,2922600
2025-04-08,10.25 ( -6.82 %),1394,5859200,4203.16,1297,26802200,20665,-20943000
2025-04-04,11 ( -4.76 %),3125,25892700,8285.66,2457,28783500,11715,-2890800
2025-04-03,11.55 ( -6.85 %),2953,19988100,6768.74,2239,29911000,13359,-9922900
