Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2025-05-08,25.7(1.18 %),4018300,102.51,5197900,132.61,1179600,30.1,0,0%
2025-05-07,25.4(-0.20 %),523500,13.31,1680400,42.71,1156900,29.4,1729535334,0%
2025-05-06,25.45(-0.97 %),-1035700,-26.89,1983700,50.93,3019400,77.81,1731215784,44.76%
2025-05-05,25.7(0.78 %),1340875,6.16,1340875,34.35,0,28.19,1727223941,44.89%
2025-04-29,25.5(-0.58 %),-227700,-5.71,3764000,96.17,3991700,101.88,1726420624,22.01%
2025-04-28,25.65(-0.19 %),1843800,47.26,2883600,73.79,1039800,26.53,1727298854,22%
2025-04-25,25.7(0.39 %),3404900,87.34,6290600,160.92,2885700,73.59,1729941802,21.95%
2025-04-24,25.6(0.20 %),5959200,152.11,6199800,158.25,240600,6.14,1735203202,21.87%
2025-04-23,25.55(2.00 %),1851300,47.23,2880500,73.49,1029200,26.26,1737010290,21.84%
2025-04-22,25.05(0.40 %),8733600,212.69,13126100,320.27,4392500,107.57,1739598978,21.8%
2025-04-21,24.95(-1.96 %),319500,8.04,580300,14.58,260800,6.55,1750938703,21.63%
2025-04-18,25.45(-0.20 %),2631900,67.4,4418200,113.09,1786300,45.69,1745845769,21.71%
2025-04-17,25.5(0.00 %),-3910800,-98.01,1762300,44.24,5673100,142.25,1748197008,21.67%
2025-04-16,25.5(-1.35 %),839000,21.4,2906000,74.12,2067000,52.72,1748889818,21.66%
2025-04-15,25.85(1.97 %),9576600,245.55,10645900,273.11,1069300,27.56,1749297988,21.65%
2025-04-14,25.35(4.32 %),11773300,298.22,14270900,361.48,2497600,63.27,1753843484,21.58%
2025-04-11,24.3(6.81 %),17212700,415.41,23313100,563.28,6100400,147.87,1767784666,21.36%
2025-04-10,22.75(6.81 %),-210100,-4.78,6500,0.15,216600,4.93,1782983055,21.12%
2025-04-09,21.3(-6.99 %),-2341500,-51.05,5772900,123.42,8114400,174.48,1779647990,21.18%
2025-04-08,22.9(-6.91 %),-895900,-21.44,2718000,62.34,3613900,83.78,1777014341,21.22%
2025-04-04,24.6(-2.96 %),-4187800,-99.1,4379400,105.16,8567200,204.26,1775433892,21.24%
2025-04-03,25.35(-6.97 %),-660900,-17.03,3814000,98.09,4474900,115.13,1778116897,21.2%
2025-04-02,27.25(0.93 %),1333700,36.34,3142200,85.59,1808500,49.25,1780129912,21.17%
2025-04-01,27(0.93 %),-1310300,-35.19,486700,13.11,1797000,48.3,1777993177,21.2%
2025-03-31,26.75(-1.47 %),-5049700,-135.78,325700,8.76,5375400,144.54,1776106576,21.23%
2025-03-28,27.15(-1.27 %),-1860200,-50.72,501100,13.67,2361300,64.4,1775577877,21.24%
2025-03-27,27.5(-0.18 %),-559400,-15.45,289900,8,849300,23.44,1774654896,21.25%
2025-03-26,27.55(1.29 %),303600,7.93,1781100,48.92,1477500,40.99,1773954053,21.27%
2025-03-25,27.2(0.18 %),312000,8.49,1411900,38.43,1099900,29.94,1773820797,21.27%
2025-03-24,27.15(0.00 %),-1257700,-33.92,650700,17.67,1908400,51.59,1767163150,21.37%
2025-03-21,27.15(0.00 %),1436900,39.02,9095800,246.97,7658900,207.95,1756614085,21.54%
2025-03-20,27.15(-0.37 %),-6307700,-171.14,4884100,132.71,11191800,303.84,1761313156,21.46%
2025-03-19,27.25(-1.27 %),3352500,91.27,7491300,204.24,4138800,112.97,1764493886,21.41%
2025-03-18,27.6(-0.90 %),-1362900,-37.89,368300,10.25,1731200,48.14,1770046405,21.33%
2025-03-17,27.85(1.09 %),-1678800,-46.9,256000,7.15,1934800,54.05,1765432547,21.4%
2025-03-14,27.55(-0.54 %),-3991000,-110.31,687000,19.04,4678000,129.35,1762961304,21.44%
2025-03-13,27.7(-0.36 %),-254605,-7,2472800,68.96,2727405,75.96,1760739684,21.47%
2025-03-12,27.8(-1.24 %),-1531500,-42.78,1369900,38.27,2901400,81.05,1761360586,21.46%
2025-03-11,28.15(0.72 %),216000,6.04,2067000,57.56,1851000,51.52,1760727910,21.47%
2025-03-10,27.95(-0.36 %),-1628300,-45.65,313800,8.81,1942100,54.46,1760727910,21.47%
2025-03-07,28.05(0.36 %),3256300,91.08,5383200,150.41,2126900,59.33,1758828457,21.5%
2025-03-06,27.95(1.45 %),7343900,204.2,9557200,265.72,2213300,61.52,1760074559,21.48%
2025-03-05,27.55(-1.08 %),-3469300,-96,667700,18.49,4137000,114.48,1767241646,21.37%
2025-03-04,27.85(-0.71 %),70100,2.01,2460100,68.68,2390000,66.67,1766671377,21.38%
2025-03-03,28.05(0.18 %),1605600,45.1,2843400,79.88,1237800,34.78,1764783823,21.41%
2025-02-28,28(-1.58 %),-4121700,-115.81,225900,6.36,4347600,122.17,1761154325,21.47%
2025-02-27,28.45(2.52 %),-2480800,-67.66,3892100,110.18,6372900,177.84,1753939924,21.58%
2025-02-26,27.75(0.91 %),-2129300,-58.96,5010800,138.96,7140100,197.92,1754941733,21.56%
