Mã,Ngày,KL mua,GT mua,KL bán,GT bán,KL giao dịch ròng,GT giao dịch ròng
HPG,2025-04-29,3281600,83.93,9559000,245.55,-6277400,-161.63
HPG,2025-04-28,546000,13.92,1550800,39.54,-1004800,-25.62
HPG,2025-04-25,8418300,217.31,3655000,93.39,4763300,123.92
HPG,2025-04-24,665400,16.95,2787600,70.92,-2122200,-53.98
HPG,2025-04-23,3796300,96.9,2469200,62.94,1327100,33.96
HPG,2025-04-22,4017800,98.84,3708100,90.44,309700,8.4
HPG,2025-04-21,1015900,25.56,3045300,76.38,-2029400,-50.82
HPG,2025-04-18,924100,23.71,1548800,39.58,-624700,-15.87
HPG,2025-04-17,1827900,45.97,543900,13.63,1284000,32.34
HPG,2025-04-16,793000,20.08,4034100,102.19,-3241100,-82.11
HPG,2025-04-15,3889300,100.18,3934200,100.61,-44900,-0.43
HPG,2025-04-14,3470100,87.77,2627100,66.43,843000,21.35
HPG,2025-04-11,2986700,72.25,7562900,182.92,-4576200,-110.67
HPG,2025-04-10,0,0,3100,0.07,-3100,-0.07
HPG,2025-04-09,4215100,90.11,7541900,161.62,-3326800,-71.52
HPG,2025-04-08,1635300,37.53,6732900,154.49,-5097600,-116.96
HPG,2025-04-04,8571100,206.56,4457500,108.86,4113600,97.7
HPG,2025-04-03,4361800,111.96,5728600,147.41,-1366800,-35.46
HPG,2025-04-02,728300,19.83,1028600,28,-300300,-8.18
HPG,2025-04-01,556000,14.95,1069600,28.76,-513600,-13.81
HPG,2025-03-31,1152500,31.01,3519300,94.62,-2366800,-63.61
HPG,2025-03-28,812300,22.19,1453000,39.59,-640700,-17.4
HPG,2025-03-27,619600,17.07,905300,24.95,-285700,-7.88
HPG,2025-03-26,2847100,78.41,2703500,74.46,143600,3.95
HPG,2025-03-25,4024400,109.62,871300,23.75,3153100,85.87
HPG,2025-03-24,964200,26.06,1324700,35.83,-360500,-9.76
HPG,2025-03-21,1599000,43.65,2784200,75.7,-1185200,-32.05
HPG,2025-03-20,1288900,35.02,670000,18.18,618900,16.83
HPG,2025-03-19,2116000,57.8,1997700,54.73,118300,3.07
HPG,2025-03-18,945900,26.35,1895500,52.61,-949600,-26.26
HPG,2025-03-17,2262400,63.33,1064000,29.77,1198400,33.56
HPG,2025-03-14,840500,23.27,1866800,51.64,-1026300,-28.37
HPG,2025-03-13,1358500,37.87,3631700,101.12,-2273200,-63.25
HPG,2025-03-12,1867600,52.29,3771200,105.33,-1903600,-53.04
HPG,2025-03-11,2896400,80.89,600800,16.84,2295600,64.05
HPG,2025-03-10,2876500,80.65,642100,18.03,2234400,62.63
HPG,2025-03-07,1998100,55.88,1672300,46.72,325800,9.15
HPG,2025-03-06,2695600,74.98,458800,12.78,2236800,62.21
