Ngày,Thay đổi,Số lệnh mua,Kl mua,KLTB 1 lệnh mua,Số lệnh bán,Kl bán,KLTB 1 lệnh bán,Kl ròng
2025-05-09,0 ( 0 %),0,0,0,0,0,0,0
2025-05-07,25.4 ( -0.2 %),0,0,0,0,0,0,0
2025-05-06,25.45 ( -0.97 %),0,0,0,0,0,0,0
2025-05-05,25.7 ( 0.78 %),0,0,0,0,0,0,0
2025-04-29,25.5 ( -0.58 %),7749,25441900,3283.25,6966,31980700,4591,-6538800
2025-04-28,25.65 ( -0.19 %),8750,22741600,2599.04,6748,27958400,4143,-5216800
2025-04-25,25.7 ( 0.39 %),9714,42228800,4347.21,9320,52014500,5581,-9785700
2025-04-24,25.6 ( 0.2 %),10536,30964400,2938.91,10741,40504600,3771,-9540200
2025-04-23,25.55 ( 2 %),8580,37773100,4402.46,14029,48966000,3490,-11192900
2025-04-22,25.05 ( 0.4 %),28153,93265900,3312.82,12844,71646900,5578,21619000
2025-04-21,24.95 ( -1.96 %),13907,29300600,2106.9,6656,35193700,5288,-5893100
2025-04-18,25.45 ( -0.2 %),12435,33510500,2694.85,11775,42572600,3616,-9062100
2025-04-17,25.5 ( 0 %),19861,47623000,2397.81,11130,47536100,4271,86900
2025-04-16,25.5 ( -1.35 %),17607,48677900,2764.69,11989,48203800,4021,474100
2025-04-15,25.85 ( 1.97 %),20158,85315800,4232.35,23950,85692700,3578,-376900
2025-04-14,25.35 ( 4.32 %),26321,85488700,3247.93,20847,92988000,4460,-7499300
2025-04-11,24.3 ( 6.81 %),38237,152534100,3989.18,15331,95616400,6237,56917700
2025-04-10,22.75 ( 6.81 %),48054,242550300,5047.45,809,3062400,3785,239487900
2025-04-09,21.3 ( -6.99 %),34326,90143400,2626.1,17126,144361500,8429,-54218100
2025-04-08,22.9 ( -6.91 %),18749,38374800,2046.77,11634,104286700,8964,-65911900
2025-04-04,24.6 ( -2.96 %),41816,122456800,2928.47,16112,120728700,7493,1728100
2025-04-03,25.35 ( -6.97 %),42428,108229200,2550.89,16911,180071800,10648,-71842600
2025-04-02,27.25 ( 0.93 %),9947,37236000,3743.44,8520,39992900,4694,-2756900
2025-04-01,27 ( 0.93 %),12490,31844900,2549.63,5235,33265000,6354,-1420100
2025-03-31,26.75 ( -1.47 %),17808,43137400,2422.36,6001,46316200,7718,-3178800
2025-03-28,27.15 ( -1.27 %),12512,39769800,3178.53,6835,38943900,5698,825900
