Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2025-05-08,23.55(1.29 %),5112600,119.71,6196400,145.01,1083800,25.3,0,0%
2025-05-07,23.25(-1.27 %),-50100,-1.04,982600,23.1,1032700,24.13,62229309,0%
2025-05-06,23.55(0.00 %),-410400,-9.68,4177100,98.56,4587500,108.24,63211909,95.54%
2025-05-05,23.55(0.00 %),5926300,0.77,5926300,139.65,0,138.88,61739912,95.65%
2025-04-29,23.55(-0.63 %),-827400,-19.54,644500,15.24,1471900,34.78,60980877,22.24%
2025-04-28,23.7(0.64 %),4959200,117.44,5749800,136.15,790600,18.71,58403583,22.28%
2025-04-25,23.55(1.29 %),-35100,-0.67,3186600,74.89,3221700,75.56,62974506,22.2%
2025-04-24,23.25(-0.64 %),1149700,26.8,2328600,54.19,1178900,27.39,60446508,22.24%
2025-04-23,23.4(1.30 %),-4356300,-101.67,1358400,31.71,5714700,133.38,60767178,22.24%
2025-04-22,23.1(0.65 %),4227800,94.23,6235700,140,2007900,45.77,60681972,22.24%
2025-04-21,22.95(-1.29 %),-110000,-2.54,1333700,30.69,1443700,33.22,66533320,22.14%
2025-04-18,23.25(1.09 %),1404900,32.75,1789300,41.67,384400,8.92,65490603,22.16%
2025-04-17,23(0.44 %),-386400,-8.65,2013200,45.92,2399600,54.58,65216728,22.17%
2025-04-16,22.9(-0.43 %),-115400,-2.54,2647700,60.84,2763100,63.38,63906338,22.19%
2025-04-15,23(-1.92 %),347800,8.03,3671400,84.77,3323600,76.74,59981146,22.25%
2025-04-14,23.45(0.00 %),-1254900,-29.11,5318000,124.36,6572900,153.47,62358758,22.21%
2025-04-11,23.45(6.35 %),10890200,249.22,12184000,278.82,1293800,29.61,67299675,22.13%
2025-04-10,22.05(6.78 %),388100,8.56,765200,16.87,377100,8.32,61610776,22.23%
2025-04-09,20.65(-1.20 %),-11742400,-237.89,6130500,124.55,17872900,362.45,43751014,22.52%
2025-04-08,20.9(-6.90 %),-19643300,-412.06,0,0,19643300,412.06,29486996,22.75%
2025-04-04,22.45(-0.88 %),-20946500,-450.01,0,0,20946500,450.01,0,23.24%
2025-04-03,22.65(-6.98 %),-30038900,-691.56,0,0,30038900,691.56,0,23.24%
2025-04-02,24.35(-1.02 %),-10500,-0.26,1500,0.04,12000,0.29,0,23.24%
2025-04-01,24.6(2.07 %),-400,-0.01,100,0,500,0.01,1500,23.24%
2025-03-31,24.1(0.84 %),-10300,-0.25,0,0,10300,0.25,126,23.24%
2025-03-28,23.9(0.00 %),-1500,-0.04,0,0,1500,0.04,0,23.24%
2025-03-27,23.9(-0.42 %),-100,-0,0,0,100,0,0,23.24%
2025-03-26,24(-0.83 %),-500,-0.01,0,0,500,0.01,0,23.24%
2025-03-25,24.2(-0.82 %),0,0,0,0,0,0,0,23.24%
2025-03-24,24.4(0.41 %),-100,-0,0,0,100,0,0,23.24%
2025-03-21,24.3(0.21 %),-1900,-0.05,0,0,1900,0.05,0,23.24%
2025-03-20,24.25(1.68 %),400,0.01,400,0.01,0,0,0,23.24%
2025-03-19,23.85(-0.21 %),272000,6.51,272000,6.51,0,0,420,23.24%
2025-03-18,23.9(-1.65 %),-300,-0.01,0,0,300,0.01,272077,23.23%
2025-03-17,24.3(0.00 %),-400,-0.01,0,0,400,0.01,0,23.24%
2025-03-14,24.3(0.00 %),-289500,-7.01,0,0,289500,7.01,0,23.24%
2025-03-13,24.3(-1.22 %),-5355,-0.13,2550000,62.53,2555355,62.66,0,23.24%
2025-03-12,24.6(-0.81 %),-1000,-0.02,0,0,1000,0.03,0,23.24%
2025-03-11,24.8(1.22 %),26900,0.65,27000,0.65,100,0,27016,23.23%
2025-03-10,24.5(0.00 %),7800,0.19,8500,0.21,700,0.02,27016,23.23%
2025-03-07,24.5(1.66 %),-17300,-0.42,0,0,17300,0.42,8536,23.23%
2025-03-06,24.1(2.34 %),-65200,-1.55,3600,0.09,68800,1.63,0,23.24%
2025-03-05,23.55(0.64 %),-50400,-1.19,0,0,50400,1.19,3677,23.24%
2025-03-04,23.4(1.30 %),9900,0.23,14900,0.34,5000,0.12,0,23.24%
2025-03-03,23.1(0.43 %),-3600,-0.08,0,0,3600,0.08,14986,23.23%
2025-02-28,23(-0.86 %),-900,-0.02,0,0,900,0.02,26,23.24%
2025-02-27,23.2(0.00 %),-14900,-0.34,0,0,14900,0.34,0,23.24%
2025-02-26,23.2(-0.85 %),0,0,0,0,0,0,0,23.24%
2025-02-25,23.4(1.74 %),-6200,-0.14,0,0,6200,0.14,0,23.24%
2025-02-24,23(0.44 %),-100,-0,0,0,100,0,0,23.24%
2025-02-21,22.9(0.22 %),-5600,-0.13,0,0,5600,0.13,0,23.24%
2025-02-20,22.85(0.00 %),-3000,-0.07,0,0,3000,0.07,0,23.24%
2025-02-19,22.85(0.66 %),-1900,-0.04,1100,0.03,3000,0.07,0,23.24%
2025-02-18,22.7(0.22 %),0,0,0,0,0,0,1175,23.24%
2025-02-17,22.65(-0.88 %),14000,0.32,14000,0.32,0,0,0,23.24%
2025-02-14,22.85(-0.22 %),-1100,-0.03,0,0,1100,0.03,14042,23.23%
2025-02-13,22.9(0.88 %),-4600,-0.1,0,0,4600,0.1,0,23.24%
2025-02-12,22.7(-1.30 %),-14000,-0.32,0,0,14000,0.32,0,23.24%
2025-02-11,23(0.44 %),0,0,0,0,0,0,0,23.24%
2025-02-10,22.9(0.66 %),0,0,0,0,0,0,0,23.24%
2025-02-07,22.75(0.66 %),-200,-0,0,0,200,0,0,23.24%
2025-02-06,22.6(0.44 %),0,0,0,0,0,0,0,23.24%
2025-02-05,22.5(0.22 %),0,0,0,0,0,0,0,23.24%
2025-02-04,22.45(1.81 %),-10200,-0.23,1800,0.04,12000,0.27,0,23.24%
2025-02-03,0(0.00 %),7800,0.17,7800,0.17,0,0,1825,23.24%
2025-01-24,22.4(0.90 %),0,0,0,0,0,0,7866,23.23%
2025-01-23,22.2(1.83 %),1100,0.02,1100,0.02,0,0,69,23.24%
2025-01-22,21.8(-0.23 %),-7800,-0.17,0,0,7800,0.17,1100,23.24%
2025-01-21,21.85(0.00 %),0,0,0,0,0,0,0,23.24%
2025-01-20,21.85(1.63 %),900,0.02,2000,0.04,1100,0.02,0,23.24%
2025-01-17,21.5(0.47 %),0,0,0,0,0,0,2070,23.24%
2025-01-16,21.4(0.23 %),-1400,-0.03,0,0,1400,0.03,0,0%
2025-01-15,21.35(0.23 %),-2000,-0.04,0,0,2000,0.04,0,23.24%
2025-01-14,21.3(-0.93 %),0,0,0,0,0,0,0,23.24%
2025-01-13,21.5(1.65 %),0,0,0,0,0,0,0,23.24%
2025-01-10,21.15(-1.63 %),-500,-0.01,0,0,500,0.01,0,23.24%
2025-01-09,21.5(-0.46 %),0,0,0,0,0,0,0,23.24%
2025-01-08,21.6(-0.23 %),0,0,0,0,0,0,0,23.24%
2025-01-07,21.65(2.03 %),10200,0.22,10200,0.22,0,0,10265,23.23%
2025-01-06,24.4(-1.21 %),0,0,0,0,0,0,10265,23.23%
2025-01-03,24.7(-1.98 %),0,0,0,0,0,0,80048,23.23%
2025-01-02,25.2(0.40 %),7300,0.18,17500,0.44,10200,0.26,0,23.24%
2024-12-31,25.1(1.21 %),-80000,-1.99,0,0,80000,1.99,17500,23.23%
2024-12-30,24.8(-1.00 %),0,0,0,0,0,0,0,23.24%
2024-12-27,25.05(0.60 %),-17300,-0.43,200,0.01,17500,0.44,0,23.24%
2024-12-26,24.9(1.84 %),-18900,-0.47,1100,0.03,20000,0.49,200,23.24%
2024-12-25,24.45(2.30 %),1700,0.04,1700,0.04,0,0,1100,23.24%
2024-12-24,23.9(-0.62 %),0,0,0,0,0,0,1700,23.24%
2024-12-20,24(0.63 %),-1700,-0.04,0,0,1700,0.04,0,23.24%
2024-12-19,23.85(-1.45 %),0,0,0,0,0,0,208519,23.23%
2024-12-18,24.2(0.21 %),0,0,0,0,0,0,90,23.24%
2024-12-17,24.15(0.21 %),-208500,-5.02,0,0,208500,5.02,250000,23.23%
2024-12-16,24.1(-0.62 %),1000,0.02,1000,0.02,0,0,28817,23.23%
2024-12-10,24.25(-0.61 %),-152000,-3.7,0,0,152000,3.7,19000,23.23%
2024-12-09,24.4(0.21 %),3800,0.09,5500,0.13,1700,0.04,158061,23.23%
2024-12-05,0(0.00 %),-157900,-3.8,0,0,157900,3.8,62,23.24%
2024-12-04,0(0.00 %),-100,-0,5400,0.13,5500,0.13,38,23.24%
2024-12-03,0(0.00 %),1500,0.04,1500,0.04,0,0,5466,23.23%
2024-12-02,0(0.00 %),0,0,0,0,0,0,1500,23.24%
2024-11-29,0(0.00 %),-5400,-0.13,0,0,5400,0.13,0,23.24%
2024-11-28,24(-0.41 %),-1500,-0.04,0,0,1500,0.04,0,23.24%
2024-11-27,24.1(0.00 %),0,0,0,0,0,0,0,23.24%
2024-11-26,24.1(0.63 %),-100,-0,0,0,100,0,0,23.24%
2024-11-25,23.95(-0.21 %),39900,0.96,40000,0.96,100,0,0,23.24%
2024-11-22,24(0.00 %),600,0.01,600,0.01,0,0,1657724,0%
