Ngày,Giá đóng cửa,Giá điều chỉnh,Thay đổi,KL gd khớp lệnh,GT gd khớp lệnh,KL gd thỏa thuận,GT gd thỏa thuận,Giá mở cửa,Giá cao nhất,Giá thấp nhất
2025-05-08,23.55,,0.3(1.29 %),21016400,491.61,0,0,23.3,23.6,23.2
2025-05-07,23.25,,-0.3(-1.27 %),21893400,511.51,28202,0.62,23.55,23.6,23.2
2025-05-06,23.55,,0(0.00 %),22793600,537.9,0,0,23.6,23.7,23.5
2025-05-05,23.55,,0(0.00 %),18857200,444.39,0,0,23.7,23.75,23.45
2025-04-29,23.55,,-0.15(-0.63 %),13178800,311.42,149000,3.49,23.7,23.75,23.55
2025-04-28,23.7,,0.15(0.64 %),23070500,546.2,1,0,23.8,23.85,23.55
2025-04-25,23.55,,0.3(1.29 %),40711200,956.84,115000,2.69,23.5,23.75,23.3
2025-04-24,23.25,,-0.15(-0.64 %),18099100,421.02,1,0,23.4,23.4,23.05
2025-04-23,23.4,,0.3(1.30 %),33860600,792.24,0,0,23.45,23.7,23.1
2025-04-22,23.1,,0.15(0.65 %),45375000,1024.2,30002,0.65,22.85,23.15,21.55
2025-04-21,22.95,,-0.3(-1.29 %),37143800,857.33,0,0,23.5,23.5,22.8
2025-04-18,23.25,,0.25(1.09 %),31562900,733.59,0,0,23.1,23.45,23.05
2025-04-17,23,,0.1(0.44 %),21573500,491.56,20001,0.48,22.7,23,22.6
2025-04-16,22.9,,-0.1(-0.43 %),21897000,503.31,30000,0.73,23,23.25,22.75
2025-04-15,23,,-0.45(-1.92 %),29512300,681.29,0,0,23,23.4,22.9
2025-04-14,23.45,,0(0.00 %),31682100,739.57,60001,1.33,23.5,23.55,23.15
2025-04-11,23.45,,1.4(6.35 %),78951400,1808.45,29000,0.6,22.5,23.5,22.4
2025-04-10,22.05,,1.4(6.78 %),1687200,37.2,2130965,42.85,22.05,22.05,22.05
2025-04-09,20.65,,-0.25(-1.20 %),61224500,1244.29,88,0,19.45,21.4,19.45
2025-04-08,20.9,,-1.55(-6.90 %),64519700,1352.02,1744711,36.46,21.15,21.9,20.9
2025-04-04,22.45,,-0.2(-0.88 %),73116900,1577.79,2280887,52.24,21.1,22.45,21.1
2025-04-03,22.65,,-1.7(-6.98 %),86268100,1986.72,1585002,36.17,23.6,23.7,22.65
2025-04-02,24.35,,-0.25(-1.02 %),9787900,239.88,771003,19.18,24.6,24.65,24.35
2025-04-01,24.6,,0.5(2.07 %),13919500,337.69,500010,12.29,24.15,24.6,24
2025-03-31,24.1,,0.2(0.84 %),18699200,447.77,600001,14.56,23.85,24.1,23.8
2025-03-28,23.9,,0(0.00 %),13037100,311.74,2216900,53.74,24,24.1,23.8
2025-03-27,23.9,,-0.1(-0.42 %),12425800,297.77,600000,14.55,24,24.1,23.9
2025-03-26,24,,-0.2(-0.83 %),18277300,442.01,0,0,24.15,24.4,24
2025-03-25,24.2,,-0.2(-0.82 %),12739400,310.27,3934502,97.7,24.5,24.55,24.15
2025-03-24,24.4,,0.1(0.41 %),15571400,377.03,2796501,68.34,24.3,24.4,23.95
2025-03-21,24.3,,0.05(0.21 %),15567500,378.97,2600009,63.86,24.3,24.5,24.2
2025-03-20,24.25,,0.4(1.68 %),21142600,509.93,1319606,32.09,24,24.35,23.9
2025-03-19,23.85,,-0.05(-0.21 %),20386000,486.16,1841808,44.57,23.9,24,23.7
2025-03-18,23.9,,-0.4(-1.65 %),26614000,641.53,1532986,38.34,24.4,24.4,23.9
2025-03-17,24.3,,0(0.00 %),25601900,620.5,1604607,39.85,24.4,24.45,24.1
2025-03-14,24.3,,0(0.00 %),19724000,478.72,310014,7.56,24.25,24.45,24.15
2025-03-13,24.3,,-0.3(-1.22 %),23064100,564.94,2580010,65.67,24.65,24.7,24.2
2025-03-12,24.6,,-0.2(-0.81 %),30957600,766.29,2600014,67.05,24.9,25,24.6
2025-03-11,24.8,,0.3(1.22 %),26519300,648.96,1738215,44.28,24.2,24.8,24.15
