Mã,Ngày,KL mua,GT mua,KL bán,GT bán,KL giao dịch ròng,GT giao dịch ròng
MBB,2025-04-29,964400,22.79,440000,10.39,524400,12.4
MBB,2025-04-28,229100,5.42,3152900,74.62,-2923800,-69.2
MBB,2025-04-25,3209500,75.4,1046200,24.6,2163300,50.8
MBB,2025-04-24,424700,9.88,2822200,65.63,-2397500,-55.74
MBB,2025-04-23,2019600,47.28,1150500,26.85,869100,20.43
MBB,2025-04-22,2742900,62,1274000,29.11,1468900,32.9
MBB,2025-04-21,2051800,47.21,1740400,40.04,311400,7.17
MBB,2025-04-18,1589300,37.07,2466500,57.29,-877200,-20.22
MBB,2025-04-17,1330000,30.27,947900,21.61,382100,8.66
MBB,2025-04-16,1318400,30.3,1619600,37.22,-301200,-6.92
MBB,2025-04-15,1361300,31.45,1604200,37.05,-242900,-5.59
MBB,2025-04-14,1546500,36.07,1774500,41.41,-228000,-5.34
MBB,2025-04-11,5241500,121.02,10946400,251.17,-5704900,-130.15
MBB,2025-04-10,0,0,567000,12.5,-567000,-12.5
MBB,2025-04-09,2850400,57.33,8631800,175.43,-5781400,-118.11
MBB,2025-04-08,4389500,92.12,10825800,226.93,-6436300,-134.81
MBB,2025-04-04,10566000,226.9,1318500,28.96,9247500,197.94
MBB,2025-04-03,5768800,132.76,4139000,95.4,1629800,37.36
MBB,2025-04-02,816000,20.03,1301600,31.89,-485600,-11.86
MBB,2025-04-01,790600,19.08,3023800,72.86,-2233200,-53.77
MBB,2025-03-31,2110300,50.61,2008100,48.12,102200,2.5
MBB,2025-03-28,1012700,24.23,995800,23.81,16900,0.42
MBB,2025-03-27,1245100,29.87,2009800,48.13,-764700,-18.26
MBB,2025-03-26,2001800,48.35,2920400,70.39,-918600,-22.04
MBB,2025-03-25,1741600,42.34,1089100,26.51,652500,15.83
MBB,2025-03-24,1188500,28.73,1391500,33.7,-203000,-4.97
MBB,2025-03-21,1620400,39.4,1325800,32.26,294600,7.14
MBB,2025-03-20,1901300,45.83,1871900,45.11,29400,0.72
MBB,2025-03-19,3292500,78.54,856900,20.44,2435600,58.1
MBB,2025-03-18,1978900,47.76,666100,16.11,1312800,31.65
MBB,2025-03-17,1254100,30.35,440200,10.7,813900,19.65
MBB,2025-03-14,1399200,33.99,4318500,104.7,-2919300,-70.71
MBB,2025-03-13,809800,19.81,1458800,35.78,-649000,-15.97
MBB,2025-03-12,527900,13.04,3952800,97.77,-3424900,-84.73
MBB,2025-03-11,1535900,37.53,1167600,28.61,368300,8.92
MBB,2025-03-10,375500,9.24,2443500,60.14,-2068000,-50.9
MBB,2025-03-07,5735800,135.17,3887800,95.38,1848000,39.79
MBB,2025-03-06,2815000,68.42,859200,20.36,1955800,48.06
MBB,2025-03-05,578400,13.71,4238600,100.5,-3660200,-86.8
MBB,2025-03-04,961600,22.24,2705200,62.86,-1743600,-40.62
MBB,2025-03-03,3256800,75.32,745900,17.18,2510900,58.14
MBB,2025-02-28,674600,15.54,1190200,27.39,-515600,-11.85
MBB,2025-02-27,651600,15.04,643300,14.84,8300,0.2
MBB,2025-02-26,21200,0.49,914600,21.27,-893400,-20.78
MBB,2025-02-25,1288800,30.11,1689600,39.81,-400800,-9.7
MBB,2025-02-24,461900,10.61,923000,21.14,-461100,-10.53
MBB,2025-02-21,549900,12.64,280400,6.45,269500,6.19
MBB,2025-02-20,444700,10.19,2255700,51.63,-1811000,-41.45
MBB,2025-02-19,1798400,41.1,1673700,38.2,124700,2.89
MBB,2025-02-18,3241600,73.8,1627100,37.03,1614500,36.77
MBB,2025-02-17,584500,13.31,265100,6.04,319400,7.27
MBB,2025-02-14,702400,16.1,1004700,22.99,-302300,-6.9
