Ngày,Thay đổi,Số lệnh mua,Kl mua,KLTB 1 lệnh mua,Số lệnh bán,Kl bán,KLTB 1 lệnh bán,Kl ròng
2025-05-07,23.25 ( -1.27 %),0,0,0,0,0,0,0
2025-05-06,23.55 ( 0 %),0,0,0,0,0,0,0
2025-05-05,23.55 ( 0 %),0,0,0,0,0,0,0
2025-04-29,23.55 ( -0.63 %),8067,25728500,3189.35,8231,33490900,4069,-7762400
2025-04-28,23.7 ( 0.64 %),9540,42824800,4488.97,12070,53701000,4449,-10876200
2025-04-25,23.55 ( 1.29 %),12486,77899900,6238.98,19156,81175600,4238,-3275700
2025-04-24,23.25 ( -0.64 %),11582,41371700,3572.07,9443,40982100,4340,389600
2025-04-23,23.4 ( 1.3 %),12547,62755900,5001.67,15632,70014800,4479,-7258900
2025-04-22,23.1 ( 0.65 %),24095,105250100,4368.13,13192,76025700,5763,29224400
2025-04-21,22.95 ( -1.29 %),17659,72957800,4131.48,8579,71914900,8383,1042900
2025-04-18,23.25 ( 1.09 %),12399,70320300,5671.45,11749,56810600,4835,13509700
2025-04-17,23 ( 0.44 %),14035,43529500,3101.5,7788,34248900,4398,9280600
2025-04-16,22.9 ( -0.43 %),11380,59261500,5207.51,8727,43467000,4981,15794500
2025-04-15,23 ( -1.92 %),14360,53710900,3740.31,13347,55737200,4176,-2026300
2025-04-14,23.45 ( 0 %),13067,64014600,4898.95,14796,68059900,4600,-4045300
2025-04-11,23.45 ( 6.35 %),33783,148575200,4397.93,24366,134494100,5520,14081100
2025-04-10,22.05 ( 6.78 %),26360,231481800,8781.56,752,1687200,2244,229794600
2025-04-09,20.65 ( -1.2 %),29036,108198500,3726.36,16286,86135600,5289,22062900
2025-04-08,20.9 ( -6.9 %),22513,71222000,3163.59,8928,110284400,12353,-39062400
2025-04-04,22.45 ( -0.88 %),34263,130745800,3815.95,13660,111602500,8170,19143300
2025-04-03,22.65 ( -6.98 %),26454,106607000,4029.9,15016,184062500,12258,-77455500
2025-04-02,24.35 ( -1.02 %),5040,18465700,3663.83,6278,31039300,4944,-12573600
2025-04-01,24.6 ( 2.07 %),5991,34339100,5731.78,5109,23615300,4622,10723800
2025-03-31,24.1 ( 0.84 %),6067,39028500,6432.92,4658,27319600,5865,11708900
2025-03-28,23.9 ( 0 %),6288,29324200,4663.52,4557,21460400,4709,7863800
2025-03-27,23.9 ( -0.42 %),6830,23504900,3441.42,3807,22757400,5978,747500
2025-03-26,24 ( -0.83 %),7140,32953300,4615.31,4798,39255300,8182,-6302000
2025-03-25,24.2 ( -0.82 %),5307,28966100,5458.09,5188,28978100,5586,-12000
2025-03-24,24.4 ( 0.41 %),7786,36748900,4719.87,4907,29942400,6102,6806500
2025-03-21,24.3 ( 0.21 %),5721,32164800,5622.23,6446,33670300,5223,-1505500
2025-03-20,24.25 ( 1.68 %),7983,48939200,6130.43,6926,38070500,5497,10868700
2025-03-19,23.85 ( -0.21 %),11117,46209900,4156.69,4187,35283700,8427,10926200
2025-03-18,23.9 ( -1.65 %),11373,51730500,4548.54,4423,45916600,10381,5813900
2025-03-17,24.3 ( 0 %),8798,52972800,6021,4129,41356200,10016,11616600
2025-03-14,24.3 ( 0 %),6852,50859700,7422.61,5493,33228900,6049,17630800
2025-03-12,24.6 ( -0.81 %),7074,65684300,9285.31,8745,58127100,6647,7557200
2025-03-11,24.8 ( 1.22 %),8778,74093100,8440.77,7186,43119600,6001,30973500
2025-03-10,24.5 ( 0 %),6146,42624800,6935.37,9298,40505100,4356,2119700
2025-03-07,24.5 ( 1.66 %),12047,145774000,12100.44,16499,84613600,5128,61160400
2025-03-06,0 ( 0 %),4981,75535000,15164.63,11056,43343500,3920,32191500
2025-03-05,23.55 ( 0.64 %),10375,74288300,7160.32,16382,64805300,3956,9483000
2025-03-04,23.4 ( 1.3 %),8062,52130400,6466.19,7472,41271600,5524,10858800
2025-03-03,23.1 ( 0.43 %),4815,20321800,4220.52,4472,19249200,4304,1072600
2025-02-28,23 ( -0.86 %),6572,22901800,3484.75,4142,21457700,5181,1444100
2025-02-27,23.2 ( 0 %),7228,26987900,3733.8,4765,24351300,5110,2636600
2025-02-26,23.2 ( -0.85 %),5191,17012200,3277.25,5414,23685500,4375,-6673300
2025-02-25,23.4 ( 1.74 %),9278,63968400,6894.63,10857,64443800,5936,-475400
2025-02-24,23 ( 0.44 %),7039,27023200,3839.07,5414,27393000,5060,-369800
2025-02-21,22.9 ( 0.22 %),8228,37568600,4565.95,7837,46687400,5957,-9118800
2025-02-20,22.85 ( 0 %),6048,23364500,3863.18,5434,26823400,4936,-3458900
2025-02-19,22.85 ( 0.66 %),4777,19408300,4062.86,4769,21048200,4414,-1639900
2025-02-18,22.7 ( 0.22 %),5901,22378900,3792.39,4313,22891400,5308,-512500
2025-02-17,22.65 ( -0.88 %),6100,16075400,2635.31,3556,22803300,6413,-6727900
2025-02-14,22.85 ( -0.22 %),4634,16984800,3665.26,5004,25235100,5043,-8250300
2025-02-13,22.9 ( 0.88 %),4692,17177500,3661.02,3647,20052700,5498,-2875200
2025-02-12,22.7 ( -1.3 %),5321,12990800,2441.42,4077,20568500,5045,-7577700
2025-02-11,23 ( 0.44 %),3955,16082000,4066.25,4968,21890000,4406,-5808000
2025-02-10,22.9 ( 0.66 %),7645,33166700,4338.35,8996,38775400,4310,-5608700
2025-02-07,22.75 ( 0.66 %),6868,26535800,3863.69,7383,30199100,4090,-3663300
2025-02-06,22.6 ( 0.44 %),5380,22883100,4253.36,6814,24838400,3645,-1955300
2025-02-05,22.5 ( 0.22 %),4568,14794700,3238.77,4345,14615600,3364,179100
2025-02-04,22.45 ( 1.81 %),4919,21631000,4397.44,5190,19084300,3677,2546700
2025-02-03,0 ( 0 %),6432,15743400,2447.67,2824,14619100,5177,1124300
2025-01-24,22.4 ( 0.9 %),3605,17468000,4845.49,5061,18721900,3699,-1253900
2025-01-23,22.2 ( 1.83 %),4125,26589800,6446.01,6249,22249600,3561,4340200
2025-01-22,21.8 ( -0.23 %),2850,10687900,3750.14,3612,15406400,4265,-4718500
2025-01-21,21.85 ( 0 %),2764,11510100,4164.29,5054,16806600,3325,-5296500
2025-01-20,21.85 ( 1.63 %),2718,13152300,4838.96,5445,18946800,3480,-5794500
2025-01-17,21.5 ( 0.47 %),2834,11126100,3925.94,2285,9262300,4054,1863800
2025-01-16,21.4 ( 0.23 %),2867,13650500,4761.25,3216,13616300,4234,34200
2025-01-15,21.35 ( 0.23 %),3139,9520700,3033.04,2759,9447000,3424,73700
2025-01-14,21.3 ( -0.93 %),3592,15269600,4251,1957,15517500,7929,-247900
2025-01-13,21.5 ( 1.65 %),4671,21119700,4521.45,3326,12929500,3887,8190200
2025-01-10,21.15 ( -1.63 %),5588,14269800,2553.65,2835,15850900,5591,-1581100
