Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2025-05-08,57.4(0.35 %),-382100,-21.93,462200,26.54,844300,48.47,0,0%
2025-05-07,57.2(0.53 %),15800,0.92,835900,47.77,820100,46.86,1068462870,0%
2025-05-06,56.9(0.00 %),-461000,-26.29,116000,6.62,577000,32.91,1069298770,48.84%
2025-05-05,56.9(-1.22 %),187593,-57.15,187593,10.73,0,67.88,1069221370,48.84%
2025-04-29,57.6(0.17 %),231400,13.33,308800,17.79,77400,4.45,1068229390,48.89%
2025-04-28,57.5(-1.37 %),-934600,-53.91,57300,3.3,991900,57.22,1067431604,48.93%
2025-04-25,58.3(3.55 %),-667100,-38.51,414500,23.75,1081600,62.27,1067263471,48.93%
2025-04-24,56.3(-0.18 %),-138200,-7.8,87300,4.93,225500,12.73,1067290373,48.93%
2025-04-23,56.4(0.71 %),587700,33.6,959000,54.6,371300,21,1065808051,49%
2025-04-22,56(-1.23 %),-1089800,-60.1,479700,26.62,1569500,86.71,1065835051,49%
2025-04-21,56.7(0.18 %),-711300,-40.31,213700,12.14,925000,52.45,1065486996,49.02%
2025-04-18,56.6(1.07 %),136300,7.78,964200,54.94,827900,47.16,1061968421,49.19%
2025-04-17,56(0.00 %),-2160600,-119.68,1571700,87.73,3732300,207.4,1062010408,49.19%
2025-04-16,56(-0.53 %),-743300,-41.95,178700,10.15,922000,52.1,1062937286,49.14%
2025-04-15,56.3(-1.05 %),-328900,-18.63,316000,17.97,644900,36.6,1060223822,49.27%
2025-04-14,56.9(-1.04 %),-1874700,-106.78,817400,46.56,2692100,153.34,1060038858,49.28%
2025-04-11,57.5(3.42 %),646800,36.83,1147800,65.59,501000,28.76,1059373856,49.31%
2025-04-10,55.6(6.92 %),-1081300,-60.12,1000,0.06,1082300,60.18,1056948533,49.43%
2025-04-09,52(-4.59 %),-1368600,-71.75,2204600,117.52,3573200,189.27,1052945593,49.62%
2025-04-08,54.5(-6.84 %),-2990400,-164.52,1076500,59.34,4066900,223.86,1054082379,49.56%
2025-04-04,58.5(3.54 %),292500,17.88,1397200,79.91,1104700,62.03,1049028286,49.81%
2025-04-03,56.5(-6.61 %),-5404500,-308.35,764900,44.21,6169400,352.55,1048836242,49.82%
2025-04-02,60.5(-0.49 %),-1154100,-70.12,461100,28,1615200,98.12,1048563376,49.83%
2025-04-01,60.8(0.33 %),-832500,-50.54,198700,12.07,1031200,62.61,1046202288,49.94%
2025-03-31,60.6(0.50 %),-2714800,-165.18,129600,7.88,2844400,173.06,1043704220,50.06%
2025-03-28,60.3(-1.31 %),-2439800,-147.69,247400,14.97,2687200,162.66,1043393070,50.08%
2025-03-27,61.1(-0.16 %),-233300,-14.27,205900,12.6,439200,26.86,1043069691,50.09%
2025-03-26,61.2(-0.33 %),-394800,-24.19,187000,11.52,581800,35.71,1042507660,50.12%
2025-03-25,61.4(0.00 %),-590300,-36.23,202000,12.4,792300,48.63,1042070797,50.14%
2025-03-24,61.4(0.16 %),-589100,-36.16,32100,1.97,621200,38.13,1040585052,50.21%
2025-03-21,61.3(-0.81 %),-723100,-44.37,981800,60.31,1704900,104.68,1039396552,50.27%
2025-03-20,61.8(-0.80 %),-344200,-21.25,870600,53.82,1214800,75.06,1039631986,50.26%
2025-03-19,62.3(-0.32 %),-563000,-35.03,194300,12.09,757300,47.13,1039483104,50.26%
2025-03-18,62.5(-0.79 %),-275700,-17.28,750800,47.12,1026500,64.4,1039035463,50.28%
2025-03-17,63(1.45 %),368500,23.12,1010100,63.45,641600,40.34,1039282167,50.27%
2025-03-14,62.1(0.16 %),-263600,-16.4,239500,14.96,503100,31.36,1037724392,50.35%
2025-03-13,62(-0.32 %),-2302823,-143.4,265616,16.53,2568439,159.93,1036882240,50.39%
2025-03-12,62.2(-0.32 %),-996900,-62.23,80600,5.03,1077500,67.25,1036658102,50.4%
2025-03-11,62.4(-0.16 %),-204700,-12.77,285000,17.76,489700,30.52,1035660127,50.45%
2025-03-10,62.5(-0.32 %),-559000,-35.07,171600,10.76,730600,45.83,1035660127,50.45%
2025-03-07,62.7(-0.32 %),-587600,-36.79,43000,2.69,630600,39.48,1034498295,50.5%
2025-03-06,62.9(0.32 %),-1214800,-75.84,117100,7.31,1331900,83.16,1033951715,50.53%
2025-03-05,62.7(-1.26 %),-499800,-31.54,89700,5.66,589500,37.21,1033073017,50.57%
2025-03-04,63.5(0.47 %),1968900,124.67,2964400,187.79,995500,63.13,1032923770,50.58%
2025-03-03,63.2(1.61 %),-9800,-0.59,229200,14.35,239000,14.94,1035060360,50.47%
2025-02-28,62.2(0.00 %),-21700,-1.05,1006200,63.18,1027900,64.24,1033687149,50.54%
2025-02-27,62.2(-1.43 %),-1453100,-90.72,149300,9.33,1602400,100.05,1034011273,50.52%
2025-02-26,63.1(0.32 %),1593200,100.41,2275300,143.45,682100,43.04,1033391812,50.55%
2025-02-25,62.9(-1.41 %),-503900,-31.66,277600,17.59,781500,49.25,1034592568,50.5%
2025-02-24,63.8(3.91 %),3075900,192.62,4150400,260.07,1074500,67.45,1034171813,50.52%
2025-02-21,61.4(1.15 %),123300,7.51,828500,50.78,705200,43.28,1037467854,50.36%
2025-02-20,60.7(-0.16 %),-643400,-39.09,211000,12.83,854400,51.92,1037362100,50.36%
2025-02-19,60.8(0.83 %),-200300,-12.12,733800,44.5,934100,56.61,1036324081,50.41%
2025-02-18,60.3(0.50 %),-697800,-42.04,551100,33.24,1248900,75.29,1035097459,50.47%
2025-02-17,60(-0.50 %),-1674400,-100.75,299000,18,1973400,118.75,1030639785,50.69%
2025-02-14,60.3(-0.66 %),-4703500,-284.55,289900,17.55,4993400,302.1,1029390601,50.75%
2025-02-13,60.7(-0.49 %),-1108000,-67.1,466100,28.24,1574100,95.34,1029075256,50.76%
2025-02-12,61(0.99 %),749500,45.51,1354600,82.26,605100,36.75,1027781338,50.82%
2025-02-11,60.4(-0.33 %),-1614400,-97.34,159800,9.65,1774200,106.99,1028747718,50.78%
2025-02-10,60.6(-0.33 %),-433100,-26.27,86200,5.24,519300,31.51,1028252038,50.8%
2025-02-07,60.8(0.16 %),47100,2.98,728500,44.4,681400,41.42,1026659557,50.88%
2025-02-06,60.7(-1.30 %),-1011000,-61.47,467700,28.44,1478700,89.91,1026057912,50.91%
2025-02-05,61.5(2.16 %),46900,2.93,1377000,84.06,1330100,81.13,1021066356,51.14%
2025-02-04,60.2(-0.50 %),-5083600,-306.38,440700,26.58,5524300,332.96,1017059854,51.34%
2025-02-03,0(0.00 %),-5181200,-315.02,370000,22.49,5551200,337.52,1017118294,51.33%
2025-01-24,62.2(0.32 %),205300,12.84,587500,36.59,382200,23.75,1017235496,51.33%
