Mã,Ngày,KL mua,GT mua,KL bán,GT bán,KL giao dịch ròng,GT giao dịch ròng
VNM,2025-04-29,267300,15.42,2214400,128.84,-1947100,-113.42
VNM,2025-04-28,98200,5.67,248000,14.35,-149800,-8.68
VNM,2025-04-25,1997400,115.9,614100,35.41,1383300,80.49
VNM,2025-04-24,213100,12.02,277100,15.64,-64000,-3.62
VNM,2025-04-23,767100,43.59,55500,3.16,711600,40.43
VNM,2025-04-22,677000,37.49,79900,4.5,597100,32.99
VNM,2025-04-21,100100,5.68,139700,7.93,-39600,-2.24
VNM,2025-04-18,235500,13.42,15000,0.85,220500,12.57
VNM,2025-04-17,230200,12.81,167500,9.3,62700,3.5
VNM,2025-04-16,139800,7.94,97800,5.55,42000,2.38
VNM,2025-04-15,17600,1,422300,24.06,-404700,-23.06
VNM,2025-04-14,39200,2.23,162200,9.24,-123000,-7.01
VNM,2025-04-11,211700,12.12,1201800,68.56,-990100,-56.43
VNM,2025-04-10,500000,27.8,1000,0.06,499000,27.74
VNM,2025-04-09,251500,13.35,1725400,92.34,-1473900,-78.99
VNM,2025-04-08,138500,7.64,1435500,79.6,-1297000,-71.96
VNM,2025-04-04,827100,46.29,1472000,84.01,-644900,-37.72
VNM,2025-04-03,585000,33.65,1509900,86.26,-924900,-52.61
VNM,2025-04-02,1131200,69.14,1265900,76.95,-134700,-7.81
VNM,2025-04-01,310900,18.85,183300,11.13,127600,7.72
VNM,2025-03-31,285800,17.47,137200,8.36,148600,9.11
VNM,2025-03-28,343300,20.81,455400,27.6,-112100,-6.79
VNM,2025-03-27,240500,14.72,261700,16.01,-21200,-1.29
VNM,2025-03-26,119300,7.35,192100,11.8,-72800,-4.45
VNM,2025-03-25,335900,20.59,171300,10.53,164600,10.06
VNM,2025-03-24,371300,22.8,432500,26.56,-61200,-3.76
VNM,2025-03-21,68100,4.18,247200,15.19,-179100,-11.01
VNM,2025-03-20,256900,15.86,532200,32.92,-275300,-17.06
VNM,2025-03-19,597800,37.22,316800,19.75,281000,17.48
VNM,2025-03-18,760900,47.77,100100,6.28,660800,41.49
VNM,2025-03-17,578100,36.43,409400,25.62,168700,10.8
VNM,2025-03-14,322100,20.06,299100,18.64,23000,1.42
VNM,2025-03-13,524800,32.79,333700,20.8,191100,11.99
VNM,2025-03-12,264000,16.48,289100,18.06,-25100,-1.57
VNM,2025-03-11,512300,31.93,86500,5.38,425800,26.55
VNM,2025-03-10,258900,16.26,274300,17.2,-15400,-0.95
VNM,2025-03-07,220900,13.83,705300,44.15,-484400,-30.32
VNM,2025-03-06,356500,22.24,288000,18,68500,4.24
VNM,2025-03-05,238600,15.06,78800,4.97,159800,10.1
VNM,2025-03-04,479000,30.36,315600,20.02,163400,10.34
VNM,2025-03-03,1052000,66.26,180100,11.3,871900,54.96
VNM,2025-02-28,64100,4,243400,15.28,-179300,-11.28
VNM,2025-02-27,187200,11.7,97300,6.07,89900,5.63
VNM,2025-02-26,246000,15.54,170300,10.74,75700,4.79
VNM,2025-02-25,713800,44.92,73300,4.64,640500,40.29
VNM,2025-02-24,156700,9.82,763300,48.06,-606600,-38.24
VNM,2025-02-21,150400,9.23,628800,38.53,-478400,-29.3
VNM,2025-02-20,210700,12.81,174500,10.6,36200,2.2
VNM,2025-02-19,130800,7.93,135200,8.18,-4400,-0.24
VNM,2025-02-18,68000,4.1,162800,9.81,-94800,-5.7
VNM,2025-02-17,247800,14.92,119300,7.19,128500,7.73
VNM,2025-02-14,278700,16.87,41000,2.48,237700,14.39
VNM,2025-02-13,162200,9.82,32200,1.95,130000,7.87
VNM,2025-02-12,46900,2.85,268300,16.3,-221400,-13.45
VNM,2025-02-11,54300,3.28,95200,5.74,-40900,-2.46
