Ngày,Thay đổi,Số lệnh mua,Kl mua,KLTB 1 lệnh mua,Số lệnh bán,Kl bán,KLTB 1 lệnh bán,Kl ròng
2025-05-07,57.2 ( 0.53 %),0,0,0,0,0,0,0
2025-05-06,56.9 ( 0 %),0,0,0,0,0,0,0
2025-05-05,56.9 ( -1.22 %),0,0,0,0,0,0,0
2025-04-29,57.6 ( 0.17 %),2738,4674900,1707.41,2891,6285200,2174,-1610300
2025-04-28,57.5 ( -1.37 %),3965,4477200,1129.18,3818,6986100,1830,-2508900
2025-04-25,58.3 ( 3.55 %),5626,12683100,2254.37,7962,13847900,1739,-1164800
2025-04-24,56.3 ( -0.18 %),3801,4831800,1271.19,3842,4708600,1226,123200
2025-04-23,56.4 ( 0.71 %),3290,6133800,1864.38,4460,7489300,1679,-1355500
2025-04-22,56 ( -1.23 %),9282,13193300,1421.39,4940,11113600,2250,2079700
2025-04-21,56.7 ( 0.18 %),4228,5509200,1303.03,3987,6359000,1595,-849800
2025-04-18,56.6 ( 1.07 %),4444,5895100,1326.53,5252,7475400,1423,-1580300
2025-04-17,56 ( 0 %),9235,13505600,1462.44,4266,11092600,2600,2413000
2025-04-16,56 ( -0.53 %),4572,5747900,1257.2,4347,7513600,1728,-1765700
2025-04-15,56.3 ( -1.05 %),6174,7686100,1244.91,4260,8111700,1904,-425600
2025-04-14,56.9 ( -1.04 %),8575,9844800,1148.08,4745,9802500,2066,42300
2025-04-11,57.5 ( 3.42 %),10304,16937100,1643.74,8198,18318600,2235,-1381500
2025-04-10,55.6 ( 6.92 %),8483,18924800,2230.91,377,1514300,4017,17410500
2025-04-09,52 ( -4.59 %),12252,21423600,1748.58,5897,14576600,2472,6847000
2025-04-08,54.5 ( -6.84 %),13652,17308200,1267.81,5144,19934000,3875,-2625800
2025-04-04,58.5 ( 3.54 %),13907,21139100,1520.03,7640,14825700,1941,6313400
2025-04-03,56.5 ( -6.61 %),18662,25096800,1344.81,7772,24165400,3109,931400
2025-04-02,60.5 ( -0.49 %),5561,11702900,2104.46,3721,11487300,3087,215600
2025-04-01,60.8 ( 0.33 %),5764,6045300,1048.8,3214,6631800,2063,-586500
2025-03-31,60.6 ( 0.5 %),5754,8934000,1552.66,4888,8298100,1698,635900
2025-03-28,60.3 ( -1.31 %),10160,9510000,936.02,3917,9348500,2387,161500
